Filing or 371(c) Date	05-20-2008
Issue Date of Patent	12-31-2013
A Delays	0
B Delays	0
C Delays	1193
Overlapping Days Between {A and B} or {A and C}	0
Non-Overlapping USPTO Delays	1193
PTO Manual Adjustments	0
Applicant Delays	186
Total PTA Adjustments	1007

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
74.5	12-31-2013	PTA 36 Months	0		0.5
74	12-31-2013	Patent Issue Date Used in PTA Calculation			0
73	11-26-2013	Export to Final Data Capture			0
72	11-23-2013	Dispatch to FDC			0
71	11-11-2013	Issue Fee Payment Verified			0
70	11-20-2013	Email Notification			0
69	11-20-2013	Printer Rush- No mailing			0
68	11-18-2013	Application Is Considered Ready for Issue			0
67	11-20-2013	Mail Response to 312 Amendment (PTO-271)			0
66	11-16-2013	Office Action Review			0
65	11-15-2013	Response to Amendment under Rule 312			0
64	11-12-2013	Pubs Case Remand to TC			0
63	10-29-2013	Amendment after Notice of Allowance (Rule 312)		23	67
62	10-29-2013	Supplemental Papers - Oath or Declaration		41	0
60	10-29-2013	Response to Reasons for Allowance			0
59	11-11-2013	Issue Fee Payment Received			0
58	09-09-2013	Finished Initial Data Capture			0
57	08-12-2013	Export to Initial Data Capture			0
56	08-09-2013	Mail Notice of Allowance			0
55	08-08-2013	Office Action Review			0
54	08-08-2013	Office Action Review			0
53	08-08-2013	Issue Revision Completed			0
52	08-08-2013	Notice of Allowance Data Verification Completed			0
51	08-08-2013	Case Docketed to Examiner in GAU			0
45	08-07-2013	Office Action Review			0
44	08-07-2013	Office Action Review			0
43	08-07-2013	Allowed Case Returned to the Examiner for Clerical Processing			0
42	08-07-2013	Document Verification			0
41	08-06-2013	Reasons for Allowance			0
40	08-06-2013	Allowability Notice			0
39	05-30-2013	Mail BPAI Decision on Appeal - Affirmed in Part	1193		21
38	05-30-2013	BPAI Decision - Examiner Affirmed in Part			0
36	10-20-2010	Docketing Notice Mailed to Appellant			0
35	10-20-2010	Assignment of Appeal Number			0
34	10-18-2010	Appeal Awaiting BPAI Docketing			0
33	10-13-2010	Mail Reply Brief Noted by Examiner			0
32	10-12-2010	Reply Brief Noted by Examiner			0
31	10-06-2010	Date Forwarded to Examiner			0
30	10-04-2010	Reply Brief Filed			0
29	08-20-2010	Exam. Ans. Review Complete			0
28	08-04-2010	Mail Examiner's Answer			0
27	08-02-2010	Examiner's Answer to Appeal Brief			0
26	05-25-2010	Date Forwarded to Examiner			0
25	05-20-2010	Appeal Brief Filed			0
24	05-20-2010	Affidavit(s) (Rule 131 or 132) or Exhibit(s) Received			0
23	05-24-2010	Appeal Brief Review Complete			0
22	05-20-2010	Request for Extension of Time - Granted			0
21	02-23-2010	Notice of Appeal Filed			0
20	11-24-2009	Mail Final Rejection (PTOL - 326)			0
19	11-23-2009	Final Rejection			0
18	09-20-2009	Date Forwarded to Examiner			0
17	08-12-2009	Response after Non-Final Action		121	14
16	07-14-2009	Mail Notice of Informal or Non-Responsive Amendment			0
15	05-15-2009	Date Forwarded to Examiner			0
14.1	04-13-2009	Informal or Non-Responsive Amendment after Examiner Action			0
14	04-13-2009	Response after Non-Final Action		1	13
13	01-12-2009	Mail Non-Final Rejection			0
12	01-07-2009	Non-Final Rejection			0
11	12-01-2008	Case Docketed to Examiner in GAU			0
10	10-23-2008	PG-Pub Issue Notification			0
9	09-20-2008	IFW TSS Processing by Tech Center Complete			0
8	07-25-2008	Application Dispatched from OIPE			0
7	07-14-2008	Sent to Classification Contractor			0
6	07-14-2008	Filing Receipt			0
5	07-14-2008	Application Is Now Complete			0
4	07-01-2008	Cleared by L&R (LARS)			0
3	05-21-2008	Referred to Level 2 (LARS) by OIPE CSR			0
2	05-20-2008	IFW Scan & PACR Auto Security Review			0
1	05-20-2008	Initial Exam Team nn			0
0.5	05-20-2008	Filing date			0
