Date	Transaction Description
02-28-2014	Petition Entered
02-10-2014	Post Issue Communication - Certificate of Correction Denied
12-31-2013	Recordation of Patent Grant Mailed
12-31-2013	Patent Issue Date Used in PTA Calculation
12-12-2013	Email Notification
12-11-2013	Issue Notification Mailed
11-23-2013	Dispatch to FDC
11-20-2013	Email Notification
11-20-2013	Printer Rush- No mailing
11-20-2013	Mail Response to 312 Amendment (PTO-271)
11-18-2013	Application Is Considered Ready for Issue
11-15-2013	Response to Amendment under Rule 312
11-12-2013	Pubs Case Remand to TC
11-11-2013	Issue Fee Payment Verified
11-11-2013	Issue Fee Payment Received
10-29-2013	Amendment after Notice of Allowance (Rule 312)
10-29-2013	Supplemental Papers - Oath or Declaration
10-29-2013	Response to Reasons for Allowance
08-09-2013	Mail Notice of Allowance
08-08-2013	Notice of Allowance Data Verification Completed
08-08-2013	Case Docketed to Examiner in GAU
08-07-2013	Document Verification
08-06-2013	Reasons for Allowance
05-30-2013	Mail BPAI Decision on Appeal - Affirmed in Part
05-30-2013	BPAI Decision - Examiner Affirmed in Part
10-20-2010	Docketing Notice Mailed to Appellant
10-20-2010	Assignment of Appeal Number
10-18-2010	Appeal Awaiting BPAI Docketing
10-13-2010	Mail Reply Brief Noted by Examiner
10-12-2010	Reply Brief Noted by Examiner
10-06-2010	Date Forwarded to Examiner
10-04-2010	Reply Brief Filed
08-20-2010	Exam. Ans. Review Complete
08-04-2010	Mail Examiner's Answer
08-02-2010	Examiner's Answer to Appeal Brief
05-25-2010	Date Forwarded to Examiner
05-24-2010	Appeal Brief Review Complete
05-20-2010	Appeal Brief Filed
05-20-2010	Affidavit(s) (Rule 131 or 132) or Exhibit(s) Received
05-20-2010	Request for Extension of Time - Granted
02-23-2010	Notice of Appeal Filed
11-24-2009	Mail Final Rejection (PTOL - 326)
11-23-2009	Final Rejection
09-20-2009	Date Forwarded to Examiner
08-12-2009	Response after Non-Final Action
07-14-2009	Mail Notice of Informal or Non-Responsive Amendment
05-15-2009	Date Forwarded to Examiner
04-13-2009	Informal or Non-Responsive Amendment after Examiner Action
04-13-2009	Response after Non-Final Action
01-12-2009	Mail Non-Final Rejection
01-07-2009	Non-Final Rejection
12-01-2008	Case Docketed to Examiner in GAU
10-23-2008	PG-Pub Issue Notification
09-20-2008	IFW TSS Processing by Tech Center Complete
07-25-2008	Application Dispatched from OIPE
07-14-2008	Sent to Classification Contractor
07-14-2008	Filing Receipt
07-14-2008	Application Is Now Complete
07-01-2008	Cleared by L&R (LARS)
05-21-2008	Referred to Level 2 (LARS) by OIPE CSR
05-20-2008	IFW Scan & PACR Auto Security Review
05-20-2008	Initial Exam Team nn
