Application Number	12/124,027
Filing or 371 (c) Date	05-20-2008
Application Type	Utility
Examiner Name	ZURITA, JAMES H
Group Art Unit	3684
Confirmation Number	1958
Attorney Docket Number	CASE F
Class / Subclass	705/026.100
First Named Inventor	Stephen Corey Wren , Tegucigalpa, (HN)
Entity Status	Small
Customer Number	-
Status	Patented Case
Status Date	12-11-2013
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2008-0262946 A1
Earliest Publication Date	10-23-2008
Patent Number	8,620,758
Issue Date of Patent	12-31-2013
AIA (First Inventor to File)	No
Title of Invention	SYSTEM FOR MARKETING GOODS AND SERVICES UTILIZING COMPUTERIZED CENTRAL AND REMOTE FACILITIES
