Date	Transaction Description
05-19-2009	Recordation of Patent Grant Mailed
04-29-2009	Issue Notification Mailed
05-19-2009	Patent Issue Date Used in PTA Calculation
04-14-2009	Dispatch to FDC
04-14-2009	Application Is Considered Ready for Issue
04-13-2009	Issue Fee Payment Verified
04-13-2009	Issue Fee Payment Received
01-13-2009	Mail Notice of Allowance
01-12-2009	Document Verification
01-12-2009	Notice of Allowance Data Verification Completed
01-06-2009	Case Docketed to Examiner in GAU
04-22-2008	Information Disclosure Statement considered
01-15-2008	Information Disclosure Statement considered
12-22-2008	Case Docketed to Examiner in GAU
04-22-2008	Information Disclosure Statement (IDS) Filed
04-22-2008	Preliminary Amendment
04-22-2008	Reference capture on IDS
04-22-2008	Information Disclosure Statement (IDS) Filed
05-02-2008	Case Docketed to Examiner in GAU
04-24-2008	PG-Pub Issue Notification
04-22-2008	Information Disclosure Statement (IDS) Filed
02-24-2008	IFW TSS Processing by Tech Center Complete
01-15-2008	Reference capture on IDS
01-15-2008	Information Disclosure Statement (IDS) Filed
01-10-2008	Substitute Specification Filed
11-21-2007	Preliminary Amendment
01-28-2008	Application Dispatched from OIPE
01-15-2008	Information Disclosure Statement (IDS) Filed
01-14-2008	Sent to Classification Contractor
01-14-2008	Filing Receipt - Updated
01-08-2008	Additional Application Filing Fees
01-08-2008	Applicant has submitted a new specification to correct Corrected Papers problems
12-13-2007	Corrected Paper
12-13-2007	Filing Receipt
12-05-2007	Cleared by OIPE CSR
11-21-2007	IFW Scan & PACR Auto Security Review
11-21-2007	Initial Exam Team nn
