Date	Transaction Description
04-30-2013	Recordation of Patent Grant Mailed
04-30-2013	Patent Issue Date Used in PTA Calculation
04-11-2013	Email Notification
04-10-2013	Issue Notification Mailed
04-02-2013	Dispatch to FDC
04-02-2013	Application Is Considered Ready for Issue
04-01-2013	Issue Fee Payment Verified
04-01-2013	Issue Fee Payment Received
03-20-2013	Workflow - Drawings Finished
01-10-2013	Electronic Review
01-10-2013	Email Notification
01-10-2013	Mail Notice of Allowance
01-05-2013	Notice of Allowance Data Verification Completed
01-05-2013	Document Verification
04-05-2012	Appeal Brief Review Complete
02-06-2012	Notice of Appeal Filed
11-04-2011	Electronic Review
11-04-2011	Email Notification
11-04-2011	Mail Final Rejection (PTOL - 326)
11-01-2011	Final Rejection
09-06-2011	Date Forwarded to Examiner
09-01-2011	Response after Non-Final Action
06-01-2011	Electronic Review
06-01-2011	Email Notification
06-01-2011	Mail Non-Final Rejection
05-25-2011	Non-Final Rejection
03-23-2011	Date Forwarded to Examiner
03-23-2011	Mail Appeals conf. Reopen Prosec.
03-21-2011	Pre-Appeals Conference Decision - Reopen Prosecution
02-10-2011	Request for Pre-Appeal Conference Filed
02-10-2011	Notice of Appeal Filed
11-10-2010	Electronic Review
11-10-2010	Email Notification
11-10-2010	Mail Final Rejection (PTOL - 326)
11-01-2010	Final Rejection
09-20-2010	PARALEGAL OR ELECTRONIC TERMINAL DISCLAIMER APPROVED
09-20-2010	PARALEGAL OR ELECTRONIC TERMINAL DISCLAIMER APPROVED
08-27-2010	Date Forwarded to Examiner
08-25-2010	Terminal Disclaimer Filed
08-25-2010	Terminal Disclaimer Filed
08-25-2010	Response after Non-Final Action
05-25-2010	Electronic Review
05-25-2010	Email Notification
05-25-2010	Mail Non-Final Rejection
05-21-2010	Non-Final Rejection
04-28-2010	Date Forwarded to Examiner
04-20-2010	Response to Election / Restriction Filed
03-29-2010	Electronic Review
03-29-2010	Email Notification
03-29-2010	Mail Restriction Requirement
03-25-2010	Restriction/Election Requirement
01-19-2010	Mail Appeals conf. Reopen Prosec.
01-15-2010	Date Forwarded to Examiner
01-15-2010	Pre-Appeals Conference Decision - Reopen Prosecution
11-02-2009	Request for Pre-Appeal Conference Filed
11-02-2009	Notice of Appeal Filed
08-10-2009	Electronic Review
08-10-2009	Email Notification
08-10-2009	Mail Final Rejection (PTOL - 326)
08-03-2009	Final Rejection
05-31-2009	Date Forwarded to Examiner
04-08-2009	Response after Non-Final Action
01-16-2009	Electronic Review
01-16-2009	Email Notification
01-16-2009	Mail Non-Final Rejection
01-14-2009	Non-Final Rejection
03-08-2008	Case Docketed to Examiner in GAU
12-03-2007	Correspondence Address Change
10-23-2007	Filing Receipt - Replacement
10-10-2007	Applicants have given acceptable permission for participating foreign
10-04-2007	Case Docketed to Examiner in GAU
07-12-2007	PG-Pub Issue Notification
07-05-2007	Information Disclosure Statement considered
07-05-2007	Information Disclosure Statement (IDS) Filed
05-02-2006	IFW TSS Processing by Tech Center Complete
05-02-2006	Case Docketed to Examiner in GAU
04-17-2006	Application Return from OIPE
04-17-2006	Application Is Now Complete
04-17-2006	Application Return TO OIPE
04-17-2006	Application Return from OIPE
04-17-2006	Application Is Now Complete
04-17-2006	Application Return TO OIPE
04-17-2006	Application Dispatched from OIPE
04-17-2006	Application Is Now Complete
04-05-2006	Additional Application Filing Fees
04-05-2006	A statement by one or more inventors satisfying the requirement under 35 USC 115, Oath of the Applic
03-13-2006	Information Disclosure Statement considered
03-13-2006	Reference capture on IDS
03-13-2006	Information Disclosure Statement (IDS) Filed
03-13-2006	Information Disclosure Statement (IDS) Filed
03-02-2006	Notice Mailed--Application Incomplete--Filing Date Assigned
02-24-2006	Cleared by L&R (LARS)
01-25-2006	Referred to Level 2 (LARS) by OIPE CSR
01-21-2006	IFW Scan & PACR Auto Security Review
01-10-2006	Initial Exam Team nn
