Date	Transaction Description
12-14-2010	Recordation of Patent Grant Mailed
11-25-2010	Email Notification
11-23-2010	Issue Notification Mailed
12-14-2010	Patent Issue Date Used in PTA Calculation
11-11-2010	Dispatch to FDC
11-11-2010	Dispatch to FDC
11-10-2010	Application Is Considered Ready for Issue
11-09-2010	Issue Fee Payment Verified
11-09-2010	Issue Fee Payment Received
08-23-2010	Electronic Review
08-20-2010	Email Notification
08-20-2010	Email Notification
08-20-2010	Mail Examiner's Amendment
08-20-2010	Mail Notice of Allowance
08-17-2010	Notice of Allowance Data Verification Completed
08-17-2010	Document Verification
08-16-2010	Examiner's Amendment Communication
08-03-2010	Information Disclosure Statement considered
03-31-2010	Information Disclosure Statement considered
08-03-2010	Information Disclosure Statement (IDS) Filed
08-03-2010	Electronic Information Disclosure Statement
06-24-2010	Request for Pre-Appeal Conference Filed
06-24-2010	Notice of Appeal Filed
03-31-2010	Electronic Information Disclosure Statement
03-31-2010	Information Disclosure Statement (IDS) Filed
03-25-2010	Electronic Review
03-25-2010	Email Notification
03-25-2010	Mail Final Rejection (PTOL - 326)
03-18-2010	Final Rejection
01-25-2010	Date Forwarded to Examiner
12-17-2009	Response after Non-Final Action
10-16-2009	Correspondence Address Change
09-18-2009	Mail Non-Final Rejection
09-17-2009	Non-Final Rejection
09-11-2009	Date Forwarded to Examiner
09-11-2009	Date Forwarded to Examiner
09-08-2009	Request for Continued Examination (RCE)
09-11-2009	Disposal for a RCE / CPA / R129
09-08-2009	Workflow - Request for RCE - Begin
06-09-2009	Mail Final Rejection (PTOL - 326)
06-08-2009	Final Rejection
03-27-2009	New or Additional Drawing Filed
04-17-2009	Date Forwarded to Examiner
03-27-2009	Response after Non-Final Action
01-23-2009	Mail Non-Final Rejection
01-21-2009	Non-Final Rejection
05-12-2006	Information Disclosure Statement considered
12-04-2008	Date Forwarded to Examiner
11-25-2008	Response to Election / Restriction Filed
10-28-2008	Mail Restriction Requirement
10-27-2008	Restriction/Election Requirement
08-27-2008	Case Docketed to Examiner in GAU
08-20-2008	Case Docketed to Examiner in GAU
08-14-2008	Case Docketed to Examiner in GAU
11-27-2007	Transfer Inquiry to GAU
05-17-2007	PG-Pub Issue Notification
06-12-2006	Cleared by L&R (LARS)
06-10-2006	IFW TSS Processing by Tech Center Complete
05-12-2006	Reference capture on IDS
05-12-2006	Information Disclosure Statement (IDS) Filed
05-12-2006	Information Disclosure Statement (IDS) Filed
06-05-2006	Application Return from OIPE
06-06-2006	Application Is Now Complete
06-05-2006	Application Return TO OIPE
06-05-2006	Application Dispatched from OIPE
06-06-2006	Application Is Now Complete
06-05-2006	Auto Referred by PALM Pre Exam
05-25-2006	Cleared by OIPE CSR
05-19-2006	IFW Scan & PACR Auto Security Review
05-12-2006	Initial Exam Team nn
