Application Number	11/512,782
Filing or 371 (c) Date	08-30-2006
Application Type	Utility
Examiner Name	THIAW, CATHERINE B
Group Art Unit	2493
Confirmation Number	1900
Attorney Docket Number	11000060-0055
Class / Subclass	709/206
First Named Inventor	Brenda Dietrich , Wellsville, KS (US)
Customer Number	-
Status	Docketed New Case - Ready for Examination
Status Date	06-15-2010
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2008-0059477 A1
Earliest Publication Date	03-06-2008
Patent Number	-
Issue Date of Patent	-
Title of Invention	Method and system for tracking service orders
