Date	Transaction Description
10-06-2010	Case Docketed to Examiner in GAU
06-15-2010	Date Forwarded to Examiner
06-10-2010	Request for Continued Examination (RCE)
06-15-2010	Disposal for a RCE / CPA / R129
06-10-2010	Workflow - Request for RCE - Begin
03-10-2010	Mail Final Rejection (PTOL - 326)
03-08-2010	Final Rejection
01-09-2010	Date Forwarded to Examiner
12-22-2009	Response after Non-Final Action
10-22-2009	Mail Non-Final Rejection
10-22-2009	Non-Final Rejection
09-09-2009	Date Forwarded to Examiner
09-09-2009	Date Forwarded to Examiner
09-08-2009	Request for Continued Examination (RCE)
09-09-2009	Disposal for a RCE / CPA / R129
09-08-2009	Workflow - Request for RCE - Begin
08-21-2009	Mail Advisory Action (PTOL - 303)
08-20-2009	Advisory Action (PTOL-303)
08-10-2009	Date Forwarded to Examiner
08-07-2009	Amendment after Final Rejection
07-02-2009	Mail Final Rejection (PTOL - 326)
06-30-2009	Final Rejection
05-18-2009	Date Forwarded to Examiner
04-29-2009	Response after Non-Final Action
01-29-2009	Mail Non-Final Rejection
01-28-2009	Non-Final Rejection
01-22-2009	Correspondence Address Change
01-22-2009	Case Docketed to Examiner in GAU
12-18-2008	Case Docketed to Examiner in GAU
11-13-2008	Change in Power of Attorney (May Include Associate POA)
11-05-2008	Correspondence Address Change
10-07-2008	Case Docketed to Examiner in GAU
10-07-2008	Case Docketed to Examiner in GAU
09-04-2008	Change in Power of Attorney (May Include Associate POA)
08-19-2008	Case Docketed to Examiner in GAU
05-31-2008	Transfer Inquiry to GAU
03-06-2008	PG-Pub Issue Notification
09-25-2006	IFW TSS Processing by Tech Center Complete
09-20-2006	Application Return from OIPE
09-20-2006	Application Is Now Complete
09-20-2006	Application Return TO OIPE
09-19-2006	Application Dispatched from OIPE
09-20-2006	Application Is Now Complete
09-14-2006	Cleared by OIPE CSR
09-08-2006	IFW Scan & PACR Auto Security Review
08-30-2006	Initial Exam Team nn
