Date	Transaction Description
03-09-2010	Recordation of Patent Grant Mailed
02-18-2010	Email Notification
02-17-2010	Issue Notification Mailed
03-09-2010	Patent Issue Date Used in PTA Calculation
02-02-2010	Dispatch to FDC
01-22-2010	Response to Reasons for Allowance
01-28-2010	Application Is Considered Ready for Issue
01-22-2010	Issue Fee Payment Verified
01-22-2010	Issue Fee Payment Received
10-23-2009	Electronic Review
10-23-2009	Email Notification
10-23-2009	Email Notification
10-23-2009	Mail Examiner's Amendment
10-23-2009	Mail Notice of Allowance
10-21-2009	Notice of Allowance Data Verification Completed
10-21-2009	Case Docketed to Examiner in GAU
10-21-2009	Document Verification
01-09-2008	Request for Foreign Priority (Priority Papers May Be Included)
10-21-2009	Examiner's Amendment Communication
08-28-2009	Date Forwarded to Examiner
07-14-2009	Response after Non-Final Action
07-14-2009	Request for Extension of Time - Granted
05-28-2009	Case Docketed to Examiner in GAU
01-15-2009	Electronic Review
01-15-2009	Email Notification
01-14-2009	Mail Non-Final Rejection
01-12-2009	Non-Final Rejection
02-14-2008	Information Disclosure Statement considered
06-27-2008	Email Notification
06-26-2008	PG-Pub Issue Notification
04-18-2008	Case Docketed to Examiner in GAU
02-14-2008	Reference capture on IDS
02-14-2008	Information Disclosure Statement (IDS) Filed
03-18-2008	IFW TSS Processing by Tech Center Complete
02-14-2008	Information Disclosure Statement (IDS) Filed
01-28-2008	Application Dispatched from OIPE
01-14-2008	Email Notification
01-11-2008	Sent to Classification Contractor
01-14-2008	Filing Receipt - Updated
01-09-2008	Additional Application Filing Fees
01-09-2008	A statement by one or more inventors satisfying the requirement under 35 USC 115, Oath of the Applic
12-11-2007	Electronic Review
12-10-2007	Email Notification
12-10-2007	Email Notification
12-10-2007	Filing Receipt
12-10-2007	Notice Mailed--Application Incomplete--Filing Date Assigned
11-27-2007	Cleared by L&R (LARS)
11-20-2007	Referred to Level 2 (LARS) by OIPE CSR
11-14-2007	IFW Scan & PACR Auto Security Review
11-14-2007	Initial Exam Team nn
