Application Number	11/637,726
Filing or 371 (c) Date	12-13-2006
Application Type	Utility
Examiner Name	COLAN, GIOVANNA B
Group Art Unit	2162
Confirmation Number	1762
Attorney Docket Number	130610
Class / Subclass	707/205
First Named Inventor	Yukio Kumazawa , Kanagawa, (JP)
Customer Number	-
Status	Abandoned -- Failure to Respond to an Office Action
Status Date	02-25-2010
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2008-0005207 A1
Earliest Publication Date	01-03-2008
Patent Number	-
Issue Date of Patent	-
Title of Invention	Image processing apparatus, storage medium and data signal
