Date	Transaction Description
03-01-2010	Email Notification
03-01-2010	Mail Abandonment for Failure to Respond to Office Action
02-25-2010	Aband. for Failure to Respond to O. A.
11-30-2009	Mail Advisory Action (PTOL - 303)
11-23-2009	Advisory Action (PTOL-303)
11-19-2009	Mail Examiner Interview Summary (PTOL - 413)
11-10-2009	Examiner Interview Summary Record (PTOL - 413)
11-18-2009	Date Forwarded to Examiner
11-17-2009	Amendment after Final Rejection
08-17-2009	Mail Final Rejection (PTOL - 326)
08-14-2009	Final Rejection
06-03-2009	Date Forwarded to Examiner
05-19-2009	Response after Non-Final Action
05-19-2009	Request for Extension of Time - Granted
04-23-2009	Mail Examiner Interview Summary (PTOL - 413)
04-22-2009	Examiner Interview Summary Record (PTOL - 413)
01-21-2009	Mail Non-Final Rejection
01-16-2009	Non-Final Rejection
12-13-2006	Information Disclosure Statement considered
09-18-2008	Case Docketed to Examiner in GAU
01-03-2008	PG-Pub Issue Notification
07-05-2007	Case Docketed to Examiner in GAU
06-23-2007	Transfer Inquiry to GAU
01-27-2007	IFW TSS Processing by Tech Center Complete
01-05-2007	Request for Foreign Priority (Priority Papers May Be Included)
12-13-2006	Information Disclosure Statement (IDS) Filed
12-13-2006	Information Disclosure Statement (IDS) Filed
01-18-2007	Application Dispatched from OIPE
01-19-2007	Application Is Now Complete
01-06-2007	Cleared by OIPE CSR
01-02-2007	IFW Scan & PACR Auto Security Review
12-13-2006	Initial Exam Team nn
