Date	Transaction Description
05-08-2009	Mail Abandonment for Failure to Pay Issue Fee
04-14-2009	Abandonment for Failure to Pay Issue Fee
02-25-2009	Mail Miscellaneous Communication to Applicant
02-24-2009	Miscellaneous Communication to Applicant - No Action Count
01-09-2009	Reference capture on IDS
01-09-2009	Information Disclosure Statement (IDS) Filed
02-06-2009	Mail Miscellaneous Communication to Applicant
02-04-2009	Miscellaneous Communication to Applicant - No Action Count
01-09-2009	Information Disclosure Statement considered
02-02-2009	Pubs Case Remand to TC
01-09-2009	Information Disclosure Statement (IDS) Filed
01-12-2009	Mail Notice of Allowance
01-08-2009	Document Verification
01-08-2009	Notice of Allowance Data Verification Completed
01-08-2009	Case Docketed to Examiner in GAU
12-19-2007	Information Disclosure Statement considered
12-26-2007	Information Disclosure Statement considered
11-25-2008	Case Docketed to Examiner in GAU
08-21-2008	PARALEGAL OR ELECTRONIC TERMINAL DISCLAIMER APPROVED
05-16-2008	Terminal Disclaimer Filed
05-16-2008	Preliminary Amendment
07-10-2008	Case Docketed to Examiner in GAU
04-24-2008	PG-Pub Issue Notification
04-22-2008	IFW TSS Processing by Tech Center Complete
12-26-2007	Miscellaneous Incoming Letter
12-26-2007	Information Disclosure Statement (IDS) Filed
12-19-2007	Miscellaneous Incoming Letter
12-19-2007	Reference capture on IDS
12-19-2007	Information Disclosure Statement (IDS) Filed
02-12-2008	Application Dispatched from OIPE
01-19-2008	Sent to Classification Contractor
01-22-2008	Filing Receipt
01-22-2008	Application Is Now Complete
01-10-2008	Cleared by OIPE CSR
01-01-2008	IFW Scan & PACR Auto Security Review
12-26-2007	Information Disclosure Statement (IDS) Filed
12-19-2007	Information Disclosure Statement (IDS) Filed
12-19-2007	Initial Exam Team nn
