Date	Transaction Description
12-15-2009	Recordation of Patent Grant Mailed
11-24-2009	Issue Notification Mailed
12-15-2009	Patent Issue Date Used in PTA Calculation
11-17-2009	Dispatch to FDC
11-13-2009	Application Is Considered Ready for Issue
11-16-2009	Mail Response to 312 Amendment (PTO-271)
11-10-2009	Response to Amendment under Rule 312
10-14-2009	Issue Fee Payment Verified
10-14-2009	Issue Fee Payment Received
08-10-2009	Amendment after Notice of Allowance (Rule 312)
07-14-2009	Mail Notice of Allowance
07-13-2009	Notice of Allowance Data Verification Completed
07-10-2009	Document Verification
06-29-2009	Date Forwarded to Examiner
05-20-2009	Response after Non-Final Action
05-20-2009	Request for Extension of Time - Granted
01-26-2009	Mail Non-Final Rejection
01-21-2009	Non-Final Rejection
12-31-2007	Information Disclosure Statement considered
01-07-2009	Case Docketed to Examiner in GAU
11-17-2008	IFW TSS Processing by Tech Center Complete
12-31-2007	Information Disclosure Statement (IDS) Filed
12-31-2007	Reference capture on IDS
07-31-2008	PG-Pub Issue Notification
05-16-2008	Application Dispatched from OIPE
04-24-2008	Sent to Classification Contractor
04-22-2008	Receipt of all Acknowledgement Letters
04-22-2008	Receipt of Acknowledgment Letter
04-07-2008	Receipt of Acknowledgment Letter
12-31-2007	Information Disclosure Statement (IDS) Filed
10-22-2007	Filing Receipt - Corrected
09-25-2007	Agency Referral Letter Mailed
09-25-2007	Waiting LR clearance
09-25-2007	Application Is Now Complete
09-25-2007	Agency Referral Letter Mailed
09-24-2007	Letter to Applicant - No government Interest / Patent to Issue
09-17-2007	Referred by L&R for Third-Level Security Review. Agency Referral Letter Generated
09-17-2007	Referred by L&R for Third-Level Security Review. Agency Referral Letter Generated
09-13-2007	Referred to Level 2 (LARS) by OIPE CSR
09-12-2007	IFW Scan & PACR Auto Security Review
09-12-2007	Initial Exam Team nn
