Filing or 371(c) Date	09-12-2007
Issue Date of Patent	12-15-2009
A Delays	75
B Delays	0
C Delays	0
Overlapping Days Between {A and B} or {A and C}	0
Non-Overlapping USPTO Delays	75
PTO Manual Adjustments	0
Applicant Delays	123
Total PTA Adjustments	0

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
49	12-15-2009	Patent Issue Date Used in PTA Calculation			0
48	11-18-2009	Export to Final Data Capture			0
47	11-17-2009	Dispatch to FDC			0
46	11-13-2009	Application Is Considered Ready for Issue			0
45	11-16-2009	Mail Response to 312 Amendment (PTO-271)			0
44	11-10-2009	Response to Amendment under Rule 312			0
43	10-14-2009	Issue Fee Payment Verified			0
42	10-14-2009	Issue Fee Payment Received			0
41	08-10-2009	Amendment after Notice of Allowance (Rule 312)		99	45
40	08-13-2009	Finished Initial Data Capture			0
39	07-17-2009	Export to Initial Data Capture			0
38	07-14-2009	Mail Notice of Allowance			0
37	07-13-2009	Notice of Allowance Data Verification Completed			0
36	07-13-2009	Issue Revision Completed			0
35	07-10-2009	Document Verification			0
34	07-06-2009	Allowability Notice			0
33	06-29-2009	Date Forwarded to Examiner			0
32	05-20-2009	Response after Non-Final Action		24	30
31	05-20-2009	Request for Extension of Time - Granted			0
30	01-26-2009	Mail Non-Final Rejection	75		-1
29	01-21-2009	Non-Final Rejection			0
28	12-31-2007	Information Disclosure Statement considered			0
25	01-07-2009	Case Docketed to Examiner in GAU			0
24	11-17-2008	IFW TSS Processing by Tech Center Complete			0
23	12-31-2007	Information Disclosure Statement (IDS) Filed			0
22	12-31-2007	Reference capture on IDS			0
21	07-31-2008	PG-Pub Issue Notification			0
20	05-16-2008	Application Dispatched from OIPE			0
19	04-24-2008	Sent to Classification Contractor			0
18	04-22-2008	Receipt of all Acknowledgement Letters			0
17	04-22-2008	Receipt of Acknowledgment Letter			0
16	04-07-2008	Receipt of Acknowledgment Letter			0
15	12-31-2007	Information Disclosure Statement (IDS) Filed			0
14	10-22-2007	Filing Receipt - Corrected			0
13	09-25-2007	Agency Referral Letter Mailed			0
12	09-25-2007	Waiting LR clearance			0
11	09-25-2007	Application Is Now Complete			0
10	09-25-2007	Agency Referral Letter Mailed			0
7	09-24-2007	Letter to Applicant - No government Interest / Patent to Issue			0
6	09-17-2007	Referred for DOE Property Rights review by L&R LARS			0
5	09-17-2007	Referred by L&R for Third-Level Security Review. Agency Referral Letter Generated			0
4	09-17-2007	Referred by L&R for Third-Level Security Review. Agency Referral Letter Generated			0
3	09-13-2007	Referred to Level 2 (LARS) by OIPE CSR			0
2	09-12-2007	IFW Scan & PACR Auto Security Review			0
1	09-12-2007	Initial Exam Team nn			0
