Date	Transaction Description
07-11-2013	ENTITY STATUS SET TO UNDISCOUNTED (INITIAL DEFAULT SETTING OR STATUS CHANGE)
05-24-2010	Post Issue Communication - Certificate of Correction
01-12-2010	Recordation of Patent Grant Mailed
01-12-2010	Patent Issue Date Used in PTA Calculation
12-24-2009	Email Notification
12-23-2009	Issue Notification Mailed
12-04-2009	Dispatch to FDC
12-02-2009	Email Notification
12-02-2009	Printer Rush- No mailing
12-02-2009	Mail Miscellaneous Communication to Applicant
12-01-2009	Application Is Considered Ready for Issue
11-25-2009	Miscellaneous Communication to Applicant - No Action Count
09-10-2009	Issue Fee Payment Verified
09-10-2009	Issue Fee Payment Received
08-27-2009	Pubs Case Remand to TC
08-07-2009	Mail Notice of Allowance
08-05-2009	Document Verification
08-05-2009	Notice of Allowance Data Verification Completed
06-22-2009	Date Forwarded to Examiner
06-08-2009	PARALEGAL OR ELECTRONIC TERMINAL DISCLAIMER APPROVED
05-26-2009	Response after Non-Final Action
05-26-2009	Request for Extension of Time - Granted
05-26-2009	Terminal Disclaimer Filed
01-27-2009	Mail Non-Final Rejection
01-23-2009	Non-Final Rejection
09-29-2008	Case Docketed to Examiner in GAU
09-20-2008	IFW TSS Processing by Tech Center Complete
06-26-2008	PG-Pub Issue Notification
04-03-2008	Application Dispatched from OIPE
03-17-2008	Sent to Classification Contractor
03-17-2008	Filing Receipt
03-17-2008	Application Is Now Complete
03-07-2008	Cleared by OIPE CSR
03-06-2008	PGPubs early publication request
03-06-2008	IFW Scan & PACR Auto Security Review
03-06-2008	Initial Exam Team nn
