Application Number	12/043,900
Filing or 371 (c) Date	03-06-2008
Application Type	Utility
Examiner Name	NGO, HOANG X
Group Art Unit	2852
Confirmation Number	6175
Attorney Docket Number	21110
Class / Subclass	399/222
First Named Inventor	Steven Miller , Pinellas Park, FL (US)
First Named Applicant	-
Entity Status	Undiscounted
AIA (First Inventor to File)	No
Customer Number	72693
Status	Patented Case
Status Date	12-23-2009
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2008-0152382 A1
Earliest Publication Date	06-26-2008
Patent Number	7,647,007
Issue Date of Patent	01-12-2010
International Registration Number (Hague)	-
International Registration Publication Date	-
Title of Invention	IMAGING CARTRIDGE DRIVE WITH AN INTERNAL RAMP
