Filing or 371(c) Date	 03-06-2008
Issue Date of Patent	 01-12-2010
A Delays	 2
B Delays	 0
C Delays	 0
Overlapping Days Between {A and B} or {A and C}	 0
Non-Overlapping USPTO Delays	 2
PTO Manual Adjustments	 0
Applicant Delays	 29
Total PTA Adjustments	 0

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
46	01-12-2010	Patent Issue Date Used in PTA Calculation	2		36
45	12-14-2009	Export to Final Data Capture			0
44	12-04-2009	Finished Initial Data Capture			0
43	12-04-2009	Dispatch to FDC			0
42	12-02-2009	Email Notification			0
41	12-01-2009	Application Is Considered Ready for Issue			0
40	12-01-2009	Workflow - Query Request - Finish			0
39	12-02-2009	Printer Rush- No mailing			0
38	12-02-2009	Mail Miscellaneous Communication to Applicant			0
37	11-25-2009	Miscellaneous Communication to Applicant - No Action Count			0
36	09-10-2009	Issue Fee Payment Verified			0
35	09-10-2009	Issue Fee Payment Received			0
34	08-27-2009	Pubs Case Remand to TC			0
33	08-31-2009	Workflow - Query Request - Begin			0
32	08-10-2009	Export to Initial Data Capture			0
31	08-07-2009	Mail Notice of Allowance			0
30	08-05-2009	Issue Revision Completed			0
29	08-05-2009	Document Verification			0
28	08-05-2009	Notice of Allowance Data Verification Completed			0
27	07-29-2009	Allowability Notice			0
26	06-22-2009	Date Forwarded to Examiner			0
25	05-26-2009	Response after Non-Final Action		29	21
24	05-26-2009	Request for Extension of Time - Granted			0
23	06-08-2009	PARALEGAL OR ELECTRONIC TERMINAL DISCLAIMER APPROVED			0
22	05-26-2009	Terminal Disclaimer Filed			0
21	01-27-2009	Mail Non-Final Rejection			0
20	01-23-2009	Non-Final Rejection			0
11	09-29-2008	Case Docketed to Examiner in GAU			0
10	09-20-2008	IFW TSS Processing by Tech Center Complete			0
9	06-26-2008	PG-Pub Issue Notification			0
8	04-03-2008	Application Dispatched from OIPE			0
7	03-17-2008	Sent to Classification Contractor			0
6	03-17-2008	Filing Receipt			0
5	03-17-2008	Application Is Now Complete			0
4	03-06-2008	PGPubs early publication request			0
3	03-07-2008	Cleared by OIPE CSR			0
2	03-06-2008	IFW Scan & PACR Auto Security Review			0
1	03-06-2008	Initial Exam Team nn			0
