Application Number	10/563,809
Filing or 371 (c) Date	05-02-2007
Application Type	Utility
Examiner Name	PATEL, BHARAT C
Group Art Unit	3724
Confirmation Number	5361
Attorney Docket Number	0671-0106PUS2
Class / Subclass	030/092
First Named Inventor	James Vanerd Wicklund JR. , Mililani, HI (US)
Customer Number	-
Status	Patented Case
Status Date	03-03-2010
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2007-0289417 A1
Earliest Publication Date	12-20-2007
Patent Number	7,681,315
Issue Date of Patent	03-23-2010
Title of Invention	CLAMPING PLIERS
