Date	Transaction Description
03-23-2010	Recordation of Patent Grant Mailed
03-04-2010	Email Notification
03-03-2010	Issue Notification Mailed
03-23-2010	Patent Issue Date Used in PTA Calculation
02-09-2010	Dispatch to FDC
02-04-2010	Application Is Considered Ready for Issue
02-01-2010	Issue Fee Payment Verified
02-01-2010	Issue Fee Payment Received
10-16-2009	Information Disclosure Statement (IDS) Filed
11-02-2009	Electronic Review
11-02-2009	Email Notification
11-02-2009	Mail Notice of Allowance
10-27-2009	Document Verification
10-27-2009	Notice of Allowance Data Verification Completed
10-16-2009	Information Disclosure Statement considered
10-16-2009	Information Disclosure Statement (IDS) Filed
07-02-2009	New or Additional Drawing Filed
09-07-2009	Date Forwarded to Examiner
07-02-2009	Response after Non-Final Action
07-02-2009	Request for Extension of Time - Granted
02-02-2009	Electronic Review
02-02-2009	Email Notification
02-02-2009	Mail Non-Final Rejection
01-29-2009	Non-Final Rejection
10-03-2007	Information Disclosure Statement considered
01-07-2009	Date Forwarded to Examiner
12-24-2008	Response to Election / Restriction Filed
12-24-2008	Request for Extension of Time - Granted
10-28-2008	Electronic Review
10-28-2008	Email Notification
10-28-2008	Mail Restriction Requirement
10-23-2008	Restriction/Election Requirement
10-06-2008	Date Forwarded to Examiner
08-25-2008	Response to Election / Restriction Filed
07-23-2008	Electronic Review
07-23-2008	Email Notification
07-23-2008	Mail Restriction Requirement
07-21-2008	Restriction/Election Requirement
05-01-2008	Case Docketed to Examiner in GAU
04-14-2008	Case Docketed to Examiner in GAU
04-08-2008	Case Docketed to Examiner in GAU
04-07-2008	Case Docketed to Examiner in GAU
01-18-2008	Miscellaneous Incoming Letter
12-22-2007	Email Notification
12-20-2007	PG-Pub Issue Notification
10-03-2007	Reference capture on IDS
10-03-2007	Information Disclosure Statement (IDS) Filed
10-10-2007	Transfer Inquiry to GAU
10-03-2007	Information Disclosure Statement (IDS) Filed
10-05-2007	IFW TSS Processing by Tech Center Complete
01-09-2006	Request for Foreign Priority (Priority Papers May Be Included)
01-09-2006	Preliminary Amendment
09-21-2007	Application Dispatched from OIPE
05-02-2007	371 Completion Date
09-18-2007	Sent to Classification Contractor
09-18-2007	Notice of DO/EO Acceptance Mailed
05-02-2007	Additional Application Filing Fees
08-23-2007	Copy of the International Search Report
05-02-2007	A statement by one or more inventors satisfying the requirement under 35 USC 115, Oath of the Applic
02-13-2007	Mail Post Card
02-05-2007	Email Notification
02-02-2007	Notice of DO/EO Missing Requirements Mailed
01-31-2006	Cleared by OIPE CSR
01-09-2006	Initial Exam Team nn
