Filing or 371(c) Date	05-02-2007
Issue Date of Patent	03-23-2010
A Delays	21
B Delays	437
C Delays	0
Overlapping Days Between {A and B} or {A and C}	0
Non-Overlapping USPTO Delays	458
PTO Manual Adjustments	0
Applicant Delays	61
Total PTA Adjustments	397

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
72.5	03-23-2010	PTA 36 Months	437		0
72	03-23-2010	Patent Issue Date Used in PTA Calculation			0
71	02-10-2010	Export to Final Data Capture			0
70	02-09-2010	Dispatch to FDC			0
69	02-04-2010	Application Is Considered Ready for Issue			0
68	02-01-2010	Issue Fee Payment Verified			0
67	02-01-2010	Issue Fee Payment Received			0
66	12-01-2009	Finished Initial Data Capture			0
64	11-03-2009	Export to Initial Data Capture			0
61	11-02-2009	Mail Notice of Allowance			0
60	10-27-2009	Issue Revision Completed			0
59	10-27-2009	Document Verification			0
58	10-27-2009	Notice of Allowance Data Verification Completed			0
57	10-26-2009	Allowability Notice			0
54	10-16-2009	Information Disclosure Statement considered			0
53	10-16-2009	Information Disclosure Statement (IDS) Filed			0
52	07-02-2009	New or Additional Drawing Filed			0
51	09-07-2009	Date Forwarded to Examiner			0
50	07-02-2009	Response after Non-Final Action		61	46
49	07-02-2009	Request for Extension of Time - Granted			0
48	02-02-2009	Electronic Review			0
47	02-02-2009	Email Notification			0
46	02-02-2009	Mail Non-Final Rejection			0
45	01-29-2009	Non-Final Rejection			0
41	10-03-2007	Information Disclosure Statement considered			0
40	01-07-2009	Date Forwarded to Examiner			0
39	12-24-2008	Response to Election / Restriction Filed			0
38	12-24-2008	Request for Extension of Time - Granted			0
37	10-28-2008	Electronic Review			0
36	10-28-2008	Email Notification			0
35	10-28-2008	Mail Restriction Requirement			0
34	10-23-2008	Restriction/Election Requirement			0
33	10-06-2008	Date Forwarded to Examiner			0
32	08-25-2008	Response to Election / Restriction Filed			0
31	07-23-2008	Electronic Review			0
30	07-23-2008	Email Notification			0
29	07-23-2008	Mail Restriction Requirement	21		12
28	07-21-2008	Restriction/Election Requirement			0
27	05-01-2008	Case Docketed to Examiner in GAU			0
26	04-14-2008	Case Docketed to Examiner in GAU			0
25	04-08-2008	Case Docketed to Examiner in GAU			0
24	04-07-2008	Case Docketed to Examiner in GAU			0
23	01-18-2008	Miscellaneous Incoming Letter			0
22	12-22-2007	Email Notification			0
21	12-20-2007	PG-Pub Issue Notification			0
20	10-03-2007	Reference capture on IDS			0
19	10-03-2007	Information Disclosure Statement (IDS) Filed			0
18	10-10-2007	Transfer Inquiry to GAU			0
17	10-03-2007	Information Disclosure Statement (IDS) Filed			0
16	10-05-2007	IFW TSS Processing by Tech Center Complete			0
13	09-21-2007	Application Dispatched from OIPE			0
12	05-02-2007	371 Completion Date			0
11	09-18-2007	Sent to Classification Contractor			0
10	09-18-2007	Notice of DO/EO Acceptance Mailed			0
9	05-02-2007	Additional Application Filing Fees			0
8	08-23-2007	Copy of the International Search Report			0
6	05-02-2007	A statement by one or more inventors satisfying the requirement under 35 USC 115, Oath of the Applic			0
