Application Number	11/513,450
Filing or 371 (c) Date	08-30-2006
Application Type	Utility
Examiner Name	DINH, PAUL
Group Art Unit	2825
Confirmation Number	2433
Attorney Docket Number	000174-0609-103
Class / Subclass	716/006
First Named Inventor	Babette van Antwerpen , Mountain View, CA (US)
First Named Applicant	-
Entity Status	Undiscounted
AIA (First Inventor to File)	No
Customer Number	36981
Status	Patented Case
Status Date	03-10-2010
Location	ELECTRONIC
Location Date	-
Earliest Publication No	-
Earliest Publication Date	-
Patent Number	7,689,955
Issue Date of Patent	03-30-2010
International Registration Number (Hague)	-
International Registration Publication Date	-
Title of Invention	REGISTER RETIMING TECHNIQUE
