Date	Transaction Description
10-07-2010	Change in Power of Attorney (May Include Associate POA)
10-01-2010	Correspondence Address Change
06-09-2010	Post Issue Communication - Certificate of Correction
03-30-2010	Recordation of Patent Grant Mailed
03-30-2010	Patent Issue Date Used in PTA Calculation
03-10-2010	Issue Notification Mailed
02-18-2010	Dispatch to FDC
02-18-2010	Application Is Considered Ready for Issue
02-09-2010	Issue Fee Payment Verified
02-09-2010	Issue Fee Payment Received
11-13-2009	Mail Notice of Allowance
11-09-2009	Notice of Allowance Data Verification Completed
11-09-2009	Document Verification
09-22-2009	Date Forwarded to Examiner
08-26-2009	Response after Ex Parte Quayle Action
08-26-2009	Request for Extension of Time - Granted
05-26-2009	Mail Ex Parte Quayle Action (PTOL - 326)
05-26-2009	Quayle action
05-19-2009	Date Forwarded to Examiner
04-27-2009	Response after Non-Final Action
01-28-2009	Mail Non-Final Rejection
01-26-2009	Non-Final Rejection
01-09-2008	Case Docketed to Examiner in GAU
12-05-2007	Case Docketed to Examiner in GAU
08-23-2007	Case Docketed to Examiner in GAU
09-25-2006	IFW TSS Processing by Tech Center Complete
09-21-2006	Application Is Now Complete
09-20-2006	Application Dispatched from OIPE
09-15-2006	Cleared by L&R (LARS)
09-13-2006	Referred to Level 2 (LARS) by OIPE CSR
09-08-2006	IFW Scan & PACR Auto Security Review
08-30-2006	Preliminary Amendment
08-30-2006	PGPubs nonPub Request
08-30-2006	Initial Exam Team nn
