Date	Transaction Description
11-30-2010	Recordation of Patent Grant Mailed
11-11-2010	Email Notification
11-10-2010	Issue Notification Mailed
11-30-2010	Patent Issue Date Used in PTA Calculation
10-28-2010	Dispatch to FDC
10-28-2010	Application Is Considered Ready for Issue
10-26-2010	Issue Fee Payment Verified
10-26-2010	Issue Fee Payment Received
07-26-2010	Electronic Review
07-26-2010	Email Notification
07-26-2010	Mail Notice of Allowance
07-21-2010	Document Verification
07-21-2010	Notice of Allowance Data Verification Completed
06-25-2010	Date Forwarded to Examiner
06-24-2010	Request for Continued Examination (RCE)
06-25-2010	Disposal for a RCE / CPA / R129
06-24-2010	Workflow - Request for RCE - Begin
03-26-2010	Electronic Review
03-26-2010	Email Notification
03-26-2010	Mail Notice of Allowance
03-22-2010	Document Verification
03-19-2010	Notice of Allowance Data Verification Completed
01-24-2010	Date Forwarded to Examiner
01-13-2010	Response after Non-Final Action
10-13-2009	Electronic Review
10-13-2009	Email Notification
10-13-2009	Mail Non-Final Rejection
10-08-2009	Non-Final Rejection
08-29-2009	Date Forwarded to Examiner
08-29-2009	Date Forwarded to Examiner
08-27-2009	Request for Continued Examination (RCE)
08-29-2009	Disposal for a RCE / CPA / R129
08-27-2009	Workflow - Request for RCE - Begin
06-02-2009	Electronic Review
06-02-2009	Email Notification
06-02-2009	Mail Final Rejection (PTOL - 326)
05-27-2009	Final Rejection
05-23-2009	Date Forwarded to Examiner
04-23-2009	Response after Non-Final Action
01-23-2009	Electronic Review
01-23-2009	Email Notification
01-23-2009	Mail Non-Final Rejection
01-16-2009	Non-Final Rejection
10-18-2007	Information Disclosure Statement considered
05-14-2008	Case Docketed to Examiner in GAU
10-18-2007	Electronic Information Disclosure Statement
10-18-2007	Information Disclosure Statement (IDS) Filed
08-02-2007	PG-Pub Issue Notification
03-16-2007	Case Docketed to Examiner in GAU
07-03-2006	IFW TSS Processing by Tech Center Complete
05-23-2006	Application Return from OIPE
05-23-2006	Application Is Now Complete
05-23-2006	Application Return TO OIPE
05-23-2006	Application Dispatched from OIPE
05-23-2006	Application Is Now Complete
05-15-2006	Additional Application Filing Fees
05-15-2006	A statement by one or more inventors satisfying the requirement under 35 USC 115, Oath of the Applic
03-17-2006	Notice Mailed--Application Incomplete--Filing Date Assigned
03-13-2006	Cleared by L&R (LARS)
03-02-2006	Referred to Level 2 (LARS) by OIPE CSR
02-12-2006	IFW Scan & PACR Auto Security Review
02-01-2006	Initial Exam Team nn
