Date	Transaction Description
06-16-2009	Recordation of Patent Grant Mailed
05-27-2009	Issue Notification Mailed
06-16-2009	Patent Issue Date Used in PTA Calculation
05-14-2009	Dispatch to FDC
05-14-2009	Application Is Considered Ready for Issue
05-12-2009	Issue Fee Payment Verified
05-12-2009	Issue Fee Payment Received
04-16-2009	Mail Notice of Allowance
04-15-2009	Document Verification
04-15-2009	Notice of Allowance Data Verification Completed
04-09-2009	Date Forwarded to Examiner
04-02-2009	Response after Non-Final Action
01-07-2009	Mail Non-Final Rejection
01-05-2009	Non-Final Rejection
12-19-2008	Case Docketed to Examiner in GAU
10-30-2008	PG-Pub Issue Notification
09-30-2008	IFW TSS Processing by Tech Center Complete
07-30-2008	Application Dispatched from OIPE
07-18-2008	Sent to Classification Contractor
07-18-2008	Filing Receipt
07-18-2008	Application Is Now Complete
07-08-2008	Cleared by OIPE CSR
06-30-2008	IFW Scan & PACR Auto Security Review
06-30-2008	Initial Exam Team nn
