Filing or 371(c) Date	06-30-2008
Issue Date of Patent	06-16-2009
A Delays	0
B Delays	0
C Delays	0
Overlapping Days Between {A and B} or {A and C}	0
Non-Overlapping USPTO Delays	0
PTO Manual Adjustments	0
Applicant Delays	0
Total PTA Adjustments	0

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
30	06-16-2009	Patent Issue Date Used in PTA Calculation			0
29	05-15-2009	Export to Final Data Capture			0
28	05-14-2009	Finished Initial Data Capture			0
27	05-14-2009	Dispatch to FDC			0
26	05-14-2009	Application Is Considered Ready for Issue			0
25	05-12-2009	Issue Fee Payment Verified			0
24	05-12-2009	Issue Fee Payment Received			0
23	04-20-2009	Export to Initial Data Capture			0
22	04-16-2009	Mail Notice of Allowance			0
21	04-15-2009	Issue Revision Completed			0
20	04-15-2009	Document Verification			0
19	04-15-2009	Notice of Allowance Data Verification Completed			0
18	04-13-2009	Allowability Notice			0
14	04-09-2009	Date Forwarded to Examiner			0
13	04-02-2009	Response after Non-Final Action			0
12	01-07-2009	Mail Non-Final Rejection			0
11	01-05-2009	Non-Final Rejection			0
10	12-19-2008	Case Docketed to Examiner in GAU			0
9	10-30-2008	PG-Pub Issue Notification			0
8	09-30-2008	IFW TSS Processing by Tech Center Complete			0
7	07-30-2008	Application Dispatched from OIPE			0
6	07-18-2008	Sent to Classification Contractor			0
5	07-18-2008	Filing Receipt			0
4	07-18-2008	Application Is Now Complete			0
3	07-08-2008	Cleared by OIPE CSR			0
2	06-30-2008	IFW Scan & PACR Auto Security Review			0
1	06-30-2008	Initial Exam Team nn			0
