Application Number	12/164,131
Filing or 371 (c) Date	06-30-2008
Application Type	Utility
Examiner Name	OLSZEWSKI, JOHN
Group Art Unit	3618
Confirmation Number	9837
Attorney Docket Number	FP13465
Class / Subclass	180/068.200
First Named Inventor	Jzu-Jung Lan , Kaohsiung City, (TW)
Customer Number	-
Status	Patented Case
Status Date	05-27-2009
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2008-0264707 A1
Earliest Publication Date	10-30-2008
Patent Number	7,546,892
Issue Date of Patent	06-16-2009
Title of Invention	COOLING STRUCTURE FOR A CONTINUOUS VARIATION TRANSMISSION SYSTEM OF AN ALL-TERRAIN VEHICLE
