Date	Transaction Description
07-13-2010	Application Is Considered for C of C
04-21-2010	Mail-Petition Decision - Granted
04-21-2010	Petition Decision - Granted
03-18-2010	Petition Entered
11-17-2009	Recordation of Patent Grant Mailed
10-28-2009	Issue Notification Mailed
11-17-2009	Patent Issue Date Used in PTA Calculation
10-15-2009	Dispatch to FDC
10-09-2009	Application Is Considered Ready for Issue
10-05-2009	Issue Fee Payment Verified
10-05-2009	Issue Fee Payment Received
07-15-2009	Mail Notice of Allowance
07-15-2009	Document Verification
07-15-2009	Notice of Allowance Data Verification Completed
07-15-2009	Case Docketed to Examiner in GAU
05-29-2009	Date Forwarded to Examiner
04-14-2009	Response after Non-Final Action
01-14-2009	Mail Non-Final Rejection
01-13-2009	Non-Final Rejection
05-06-2008	Information Disclosure Statement considered
01-09-2008	Information Disclosure Statement considered
11-25-2005	Information Disclosure Statement considered
11-02-2005	Information Disclosure Statement considered
05-06-2008	Information Disclosure Statement (IDS) Filed
05-06-2008	Information Disclosure Statement (IDS) Filed
01-09-2008	Information Disclosure Statement (IDS) Filed
01-09-2008	Information Disclosure Statement (IDS) Filed
10-07-2007	Case Docketed to Examiner in GAU
09-05-2007	Correspondence Address Change
03-30-2006	Affidavit(s) (Rule 131 or 132) or Exhibit(s) Received
03-07-2006	IFW TSS Processing by Tech Center Complete
03-07-2006	Case Docketed to Examiner in GAU
11-25-2005	Information Disclosure Statement (IDS) Filed
11-25-2005	Information Disclosure Statement (IDS) Filed
11-02-2005	Request for Foreign Priority (Priority Papers May Be Included)
11-02-2005	Information Disclosure Statement (IDS) Filed
11-02-2005	Information Disclosure Statement (IDS) Filed
11-02-2005	Preliminary Amendment
12-02-2005	Application Dispatched from OIPE
12-05-2005	Application Is Now Complete
11-30-2005	Cleared by OIPE CSR
11-22-2005	IFW Scan & PACR Auto Security Review
11-02-2005	Initial Exam Team nn
