Filing or 371(c) Date	11-02-2005
Issue Date of Patent	11-17-2009
A Delays	743
B Delays	380
C Delays	0
Overlapping Days Between {A and B} or {A and C}	73
Non-Overlapping USPTO Delays	1050
PTO Manual Adjustments	0
Applicant Delays	0
Total PTA Adjustments	1050

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
48	04-17-2010	Petition Decision - Granted			0
47	03-18-2010	Petition Entered			0
46	11-17-2009	Recordation of Patent Grant Mailed			0
45	10-28-2009	Issue Notification Mailed			0
44.5	11-17-2009	PTA 36 Months	380		0
44	11-17-2009	Patent Issue Date Used in PTA Calculation			0
43	10-16-2009	Export to Final Data Capture			0
42	10-15-2009	Dispatch to FDC			0
41	10-09-2009	Application Is Considered Ready for Issue			0
40	10-05-2009	Issue Fee Payment Verified			0
39	10-05-2009	Issue Fee Payment Received			0
38	08-12-2009	Finished Initial Data Capture			0
37	07-20-2009	Export to Initial Data Capture			0
36	07-15-2009	Mail Notice of Allowance			0
35	07-15-2009	Issue Revision Completed			0
34	07-15-2009	Document Verification			0
33	07-15-2009	Notice of Allowance Data Verification Completed			0
32	07-15-2009	Case Docketed to Examiner in GAU			0
31	07-15-2009	Allowability Notice			0
26	05-29-2009	Date Forwarded to Examiner			0
25	04-14-2009	Response after Non-Final Action			0
24	01-14-2009	Mail Non-Final Rejection	743		-1
23	01-13-2009	Non-Final Rejection			0
22	05-06-2008	Information Disclosure Statement considered			0
21	01-09-2008	Information Disclosure Statement considered			0
20	11-25-2005	Information Disclosure Statement considered			0
19	11-02-2005	Information Disclosure Statement considered			0
18	05-06-2008	Information Disclosure Statement (IDS) Filed			0
17	05-06-2008	Information Disclosure Statement (IDS) Filed			0
16	01-09-2008	Information Disclosure Statement (IDS) Filed			0
15	01-09-2008	Information Disclosure Statement (IDS) Filed			0
14	10-07-2007	Case Docketed to Examiner in GAU			0
13	09-05-2007	Correspondence Address Change			0
12	03-30-2006	Affidavit(s) (Rule 131 or 132) or Exhibit(s) Received			0
11	03-07-2006	IFW TSS Processing by Tech Center Complete			0
10	03-07-2006	Case Docketed to Examiner in GAU			0
9.7	11-25-2005	Information Disclosure Statement (IDS) Filed			0
9	11-25-2005	Information Disclosure Statement (IDS) Filed			0
8	11-02-2005	Request for Foreign Priority (Priority Papers May Be Included)			0
7.7	11-02-2005	Information Disclosure Statement (IDS) Filed			0
7	11-02-2005	Information Disclosure Statement (IDS) Filed			0
6	11-02-2005	Preliminary Amendment			0
5	12-02-2005	Application Dispatched from OIPE			0
4	12-05-2005	Application Is Now Complete			0
3	11-30-2005	Cleared by OIPE CSR			0
2	11-22-2005	IFW Scan & PACR Auto Security Review			0
1	11-02-2005	Initial Exam Team nn			0
