Application Number	11/256,996
Filing or 371 (c) Date	10-24-2005
Application Type	Utility
Examiner Name	WHIPKEY, JASON T
Group Art Unit	2622
Confirmation Number	9520
Attorney Docket Number	09792909-6351
Class / Subclass	348/323
First Named Inventor	Isao Hirota , Kanagawa, (JP)
Customer Number	-
Status	Patented Case
Status Date	10-21-2009
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2006-0092304 A1
Earliest Publication Date	05-04-2006
Patent Number	7,616,246
Issue Date of Patent	11-10-2009
Title of Invention	SOLID-STATE IMAGING DEVICE WITH ENHANCED PIXEL THINNING OUT CONFIGURATION, METHOD FOR DRIVING SAME, AND IMAGE APPARATUS INCORPORATING SAME
