Filing or 371(c) Date	10-24-2005
Issue Date of Patent	11-10-2009
A Delays	754
B Delays	0
C Delays	0
Overlapping Days Between {A and B} or {A and C}	0
Non-Overlapping USPTO Delays	754
PTO Manual Adjustments	0
Applicant Delays	0
Total PTA Adjustments	754

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
39.5	10-21-2009	PTA 36 Months	0		0
39	11-10-2009	Patent Issue Date Used in PTA Calculation			0
38	10-12-2009	Export to Final Data Capture			0
37	10-09-2009	Dispatch to FDC			0
36	09-18-2009	Dispatch to FDC			0
35	09-17-2009	Application Is Considered Ready for Issue			0
34	09-10-2009	Issue Fee Payment Verified			0
33	09-10-2009	Issue Fee Payment Received			0
32	07-20-2009	Finished Initial Data Capture			0
31	06-16-2009	Export to Initial Data Capture			0
30	06-12-2009	Mail Notice of Allowance			0
29	05-19-2009	Issue Revision Completed			0
28	05-19-2009	Document Verification			0
27	05-11-2009	Notice of Allowance Data Verification Completed			0
26	05-11-2009	Case Docketed to Examiner in GAU			0
25	05-11-2009	Allowability Notice			0
22	04-16-2009	New or Additional Drawing Filed			0
21	04-16-2009	New or Additional Drawing Filed			0
20	04-29-2009	Date Forwarded to Examiner			0
19	04-16-2009	Response after Non-Final Action			0
18	01-16-2009	Mail Non-Final Rejection	754		-1
17	01-15-2009	Non-Final Rejection			0
16	06-05-2008	Case Docketed to Examiner in GAU			0
15	10-17-2007	Withdraw Flagged for 5/25			0
14	10-15-2007	Flagged for 5/25			0
13	03-22-2006	Case Docketed to Examiner in GAU			0
12	03-10-2006	IFW TSS Processing by Tech Center Complete			0
11	10-24-2005	Request for Foreign Priority (Priority Papers May Be Included)			0
10	03-10-2006	Case Docketed to Examiner in GAU			0
9	01-23-2006	Correspondence Address Change			0
8	12-14-2005	Application Return from OIPE			0
7	12-15-2005	Application Is Now Complete			0
6	12-14-2005	Application Return TO OIPE			0
5	12-13-2005	Application Dispatched from OIPE			0
4	12-14-2005	Application Is Now Complete			0
3	12-12-2005	Cleared by OIPE CSR			0
2	12-01-2005	IFW Scan & PACR Auto Security Review			0
1	10-24-2005	Initial Exam Team nn			0
