Application Number	11/837,541
Filing or 371 (c) Date	08-20-2007
Application Type	Utility
Examiner Name	OHERN, BRENT T
Group Art Unit	1794
Confirmation Number	5237
Attorney Docket Number	-
Class / Subclass	428/068
First Named Inventor	Nelson G. Wong , Fallston, MD (US)
Customer Number	-
Status	Abandoned -- Failure to Respond to an Office Action
Status Date	09-11-2009
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2009-0053499 A1
Earliest Publication Date	02-26-2009
Patent Number	-
Issue Date of Patent	-
Title of Invention	Covering for Compost
