Date	Transaction Description
02-19-2010	Mail Abandonment for Failure to Respond to Office Action
02-16-2010	Aband. for Failure to Respond to O. A.
01-20-2010	Case Docketed to Examiner in GAU
07-14-2009	Mail Final Rejection (PTOL - 326)
07-06-2009	Final Rejection
06-06-2009	Date Forwarded to Examiner
04-08-2009	Response after Non-Final Action
01-22-2009	Mail Non-Final Rejection
01-21-2009	Non-Final Rejection
02-27-2008	Information Disclosure Statement considered
01-06-2009	Case Docketed to Examiner in GAU
01-06-2009	Case Docketed to Examiner in GAU
10-06-2008	Case Docketed to Examiner in GAU
02-27-2008	Reference capture on IDS
02-27-2008	Information Disclosure Statement (IDS) Filed
02-27-2008	Information Disclosure Statement (IDS) Filed
10-01-2007	Case Docketed to Examiner in GAU
10-01-2007	Case Docketed to Examiner in GAU
09-06-2007	PG-Pub Issue Notification
07-23-2007	Case Docketed to Examiner in GAU
05-24-2006	Information Disclosure Statement (IDS) Filed
07-02-2007	Case Docketed to Examiner in GAU
05-24-2006	Information Disclosure Statement (IDS) Filed
12-18-2006	IFW TSS Processing by Tech Center Complete
05-24-2006	Reference capture on IDS
05-10-2006	Application Dispatched from OIPE
05-10-2006	Application Is Now Complete
04-27-2006	Payment of additional filing fee/Preexam
04-27-2006	A statement by one or more inventors satisfying the requirement under 35 USC 115, Oath of the Applic
03-31-2006	Notice Mailed--Application Incomplete--Filing Date Assigned
03-22-2006	Cleared by OIPE CSR
03-15-2006	IFW Scan & PACR Auto Security Review
03-06-2006	Initial Exam Team nn
