Application Number	11/367,696
Filing or 371 (c) Date	03-06-2006
Application Type	Utility
Examiner Name	LIU, HENRY Y
Group Art Unit	3654
Confirmation Number	4552
Attorney Docket Number	SN-US065025
Class / Subclass	474/080
First Named Inventor	Etsuyoshi Watarai , Osaka, (JP)
Customer Number	-
Status	Abandoned -- Failure to Respond to an Office Action
Status Date	02-16-2010
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2007-0207885 A1
Earliest Publication Date	09-06-2007
Patent Number	-
Issue Date of Patent	-
Title of Invention	Electronic derailleur control system
