Filing or 371(c) Date	05-12-2006
Issue Date of Patent	12-14-2010
A Delays	474
B Delays	118
C Delays	0
Overlapping Days Between {A and B} or {A and C}	0
Non-Overlapping USPTO Delays	592
PTO Manual Adjustments	0
Applicant Delays	40
Total PTA Adjustments	552

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
76.5	09-07-2009	PTA 36 Months	118		0.5
76	12-14-2010	Patent Issue Date Used in PTA Calculation			0
75	11-12-2010	Export to Final Data Capture			0
74	11-11-2010	Dispatch to FDC			0
73	11-11-2010	Dispatch to FDC			0
72	11-10-2010	Application Is Considered Ready for Issue			0
71	11-09-2010	Issue Fee Payment Verified			0
70	11-09-2010	Issue Fee Payment Received			0
69	10-13-2010	Finished Initial Data Capture			0
68	08-24-2010	Export to Initial Data Capture			0
67	08-23-2010	Electronic Review			0
63	08-20-2010	Mail Notice of Allowance			50
62	08-17-2010	Issue Revision Completed			0
61	08-17-2010	Notice of Allowance Data Verification Completed			0
60	08-17-2010	Document Verification			0
59	08-16-2010	Examiner's Amendment Communication			0
58	08-16-2010	Allowability Notice			0
55	08-03-2010	Information Disclosure Statement considered			0
54	03-31-2010	Information Disclosure Statement considered			0
53	08-03-2010	Information Disclosure Statement (IDS) Filed			0
52	08-03-2010	Electronic Information Disclosure Statement		40	50
51	06-24-2010	Request for Pre-Appeal Conference Filed			0
50	06-24-2010	Notice of Appeal Filed			0
49	03-31-2010	Electronic Information Disclosure Statement			0
48	03-31-2010	Information Disclosure Statement (IDS) Filed			0
47	03-25-2010	Electronic Review			0
46	03-25-2010	Email Notification			0
45	03-25-2010	Mail Final Rejection (PTOL - 326)			0
44	03-18-2010	Final Rejection			0
43	01-25-2010	Date Forwarded to Examiner			0
42	12-17-2009	Response after Non-Final Action			0
41	10-16-2009	Correspondence Address Change			0
40	09-18-2009	Mail Non-Final Rejection			0
39	09-17-2009	Non-Final Rejection			0
38	09-11-2009	Date Forwarded to Examiner			0
37	09-08-2009	Amendment Submitted/Entered with Filing of CPA/RCE			0
36	09-11-2009	Date Forwarded to Examiner			0
35	09-08-2009	Request for Continued Examination (RCE)			0
34	09-11-2009	Disposal for a RCE / CPA / R129			0
33	09-08-2009	Workflow - Request for RCE - Begin			0
32	06-09-2009	Mail Final Rejection (PTOL - 326)			0
31	06-08-2009	Final Rejection			0
30	03-27-2009	New or Additional Drawing Filed			0
29	04-17-2009	Date Forwarded to Examiner			0
28	03-27-2009	Response after Non-Final Action			0
27	01-23-2009	Mail Non-Final Rejection			0
26	01-21-2009	Non-Final Rejection			0
25	05-12-2006	Information Disclosure Statement considered			0
24	12-04-2008	Date Forwarded to Examiner			0
23	11-25-2008	Response to Election / Restriction Filed			0
22	10-28-2008	Mail Restriction Requirement	474		0.5
21	10-27-2008	Restriction/Election Requirement			0
18	08-27-2008	Case Docketed to Examiner in GAU			0
17	08-20-2008	Case Docketed to Examiner in GAU			0
16	08-14-2008	Case Docketed to Examiner in GAU			0
15	11-27-2007	Transfer Inquiry to GAU			0
14	05-17-2007	PG-Pub Issue Notification			0
13	06-12-2006	Cleared by L&R (LARS)			0
12	06-10-2006	IFW TSS Processing by Tech Center Complete			0
11	05-12-2006	Reference capture on IDS			0
10.7	05-12-2006	Information Disclosure Statement (IDS) Filed			0
10	05-12-2006	Information Disclosure Statement (IDS) Filed			0
9	06-05-2006	Application Return from OIPE			0
8	06-06-2006	Application Is Now Complete			0
7	06-05-2006	Application Return TO OIPE			0
6	06-05-2006	Application Dispatched from OIPE			0
5	06-06-2006	Application Is Now Complete			0
4	06-05-2006	Auto Referred by PALM Pre Exam			0
3	05-25-2006	Cleared by OIPE CSR			0
2	05-19-2006	IFW Scan & PACR Auto Security Review			0
1	05-12-2006	Initial Exam Team nn			0
0.5	05-12-2006	Filing date			0
