Filing or 371(c) Date	 08-16-2007
Issue Date of Patent	 08-11-2015
A Delays	 1237
B Delays	 0
C Delays	 0
Overlapping Days Between {A and B} or {A and C}	 0
Non-Overlapping USPTO Delays	 1237
PTO Manual Adjustments	 0
Applicant Delays	 985
Total PTA Adjustments	 252

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
97.5	08-11-2015	PTA 36 Months			0.5
97	08-11-2015	Patent Issue Date Used in PTA Calculation			0
96	07-15-2015	Export to Final Data Capture			0
95	07-15-2015	Email Notification			0
94	07-14-2015	Dispatch to FDC			0
93	07-15-2015	Mail Response to 312 Amendment (PTO-271)		15	88
92	07-10-2015	Office Action Review			0
91	07-08-2015	Application Is Considered Ready for Issue			0
90	07-08-2015	Response to Amendment under Rule 312			0
89	07-07-2015	Pubs Case Remand to TC			0
88	07-01-2015	Amendment after Notice of Allowance (Rule 312)			0
87	07-07-2015	Correspondence Address Change			0
86	07-01-2015	Issue Fee Payment Verified			0
85	07-01-2015	Issue Fee Payment Received			0
84	05-08-2015	Finished Initial Data Capture			0
83	04-08-2015	Export to Initial Data Capture			0
82	04-02-2015	Electronic Review			0
81	04-02-2015	Email Notification			0
80	04-02-2015	Mail Notice of Allowance	83		63
79	03-29-2015	Office Action Review			0
78	03-29-2015	Office Action Review			0
77	03-29-2015	Office Action Review			0
76	03-29-2015	Issue Revision Completed			0
75	03-29-2015	Document Verification			0
74	03-29-2015	Notice of Allowance Data Verification Completed			0
73	03-25-2015	Reasons for Allowance			0
72	03-25-2015	Examiner's Amendment Communication			0
71	03-25-2015	Allowability Notice			0
66	01-27-2015	case Inherited			0
65	01-27-2015	Case Docketed to Examiner in GAU			0
64	09-12-2014	Date Forwarded to Examiner			0
63	09-09-2014	Response after Non-Final Action		4	59
62	09-09-2014	Request for Extension of Time - Granted			0
61	08-28-2014	case Inherited			0
60	08-28-2014	Case Docketed to Examiner in GAU			0
59	06-05-2014	Mail Non-Final Rejection	1		51
58	06-03-2014	Office Action Review			0
57	05-25-2014	Non-Final Rejection			0
56	03-12-2014	Not Inherited			0
55	03-12-2014	Case Docketed to Examiner in GAU			0
54	03-12-2014	case Inherited			0
53	03-12-2014	Case Docketed to Examiner in GAU			0
52	02-21-2014	Date Forwarded to Examiner			0
51	02-04-2014	Response after Non-Final Action		29	49
50	02-04-2014	Request for Extension of Time - Granted			0
49	10-04-2013	Mail Non-Final Rejection	374		44
48	10-01-2013	Office Action Review			0
47	06-19-2013	Office Action Review			0
46	06-17-2013	Office Action Review			0
45	06-16-2013	Non-Final Rejection			0
44	05-25-2012	Response after Non-Final Action		907	32
43	04-25-2012	Mail Notice of Informal or Non-Responsive RCE Amendment	757		32
42	04-23-2012	Office Action Review			0
41	04-16-2012	Office Action Review			0
40	04-13-2012	RCE Amendment Informal or Non-Responsive			0
39	03-08-2011	Not Inherited			0
38	03-08-2011	Case Docketed to Examiner in GAU			0
37	03-07-2011	case Inherited			0
36	03-07-2011	Case Docketed to Examiner in GAU			0
35	10-07-2010	Case Docketed to Examiner in GAU			0
34	12-02-2009	Date Forwarded to Examiner			0
33	11-30-2009	Amendment Submitted/Entered with Filing of CPA/RCE			0
32	11-30-2009	Request for Continued Examination (RCE)			0
31	12-02-2009	Disposal for a RCE / CPA / R129			0
30	11-30-2009	Workflow - Request for RCE - Begin			0
29	08-31-2009	Mail Final Rejection (PTOL - 326)			0
28	08-28-2009	Final Rejection			0
27	06-26-2009	Date Forwarded to Examiner			0
26	05-06-2009	Response after Non-Final Action		30	22
25	05-06-2009	Request for Extension of Time - Granted			0
24	06-10-2009	Case Docketed to Examiner in GAU			0
23	02-19-2009	PG-Pub Issue Notification			0
22	01-06-2009	Mail Non-Final Rejection	22		13
21	01-05-2009	Non-Final Rejection			0
20	08-16-2007	Information Disclosure Statement considered			0
14	09-23-2008	Date Forwarded to Examiner			0
13	08-15-2008	Response to Election / Restriction Filed			0
12	07-23-2008	Mail Restriction Requirement			0
11	07-21-2008	Restriction/Election Requirement			0
10	06-19-2008	Case Docketed to Examiner in GAU			0
9	02-01-2008	IFW TSS Processing by Tech Center Complete			0
8	08-16-2007	Electronic Information Disclosure Statement			0
7	11-19-2007	Application Dispatched from OIPE			0
6	08-23-2007	Sent to Classification Contractor			0
5	08-23-2007	Application Is Now Complete			0
4	08-16-2007	Information Disclosure Statement (IDS) Filed			0
3	08-16-2007	Cleared by OIPE CSR			0
2	08-16-2007	IFW Scan & PACR Auto Security Review			0
1	08-16-2007	Initial Exam Team nn			0
0.5	08-16-2007	Filing date			0
