Application Number	11/839,566
Filing or 371 (c) Date	08-16-2007
Application Type	Utility
Examiner Name	LAIOS, MARIA J
Group Art Unit	1727
Confirmation Number	8756
Attorney Docket Number	81156141/FMC 2246 PUS
Class / Subclass	429/034
First Named Inventor	Shazad Mahmood Butt , Troy, MI (US)
First Named Applicant	-
Entity Status	Undiscounted
AIA (First Inventor to File)	No
Customer Number	22844
Status	Patented Case
Status Date	07-22-2015
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2009-0047552 A1
Earliest Publication Date	02-19-2009
Patent Number	9,105,885
Issue Date of Patent	08-11-2015
International Registration Number (Hague)	-
International Registration Publication Date	-
Title of Invention	APPARATUS FOR CONDITIONING TEMPERATURE OF A FLUID STREAM
