Date	Transaction Description
08-11-2015	Recordation of Patent Grant Mailed
08-11-2015	Patent Issue Date Used in PTA Calculation
07-23-2015	Email Notification
07-22-2015	Issue Notification Mailed
07-15-2015	Email Notification
07-15-2015	Mail Response to 312 Amendment (PTO-271)
07-14-2015	Dispatch to FDC
07-08-2015	Application Is Considered Ready for Issue
07-08-2015	Response to Amendment under Rule 312
07-07-2015	Pubs Case Remand to TC
07-07-2015	Correspondence Address Change
07-01-2015	Amendment after Notice of Allowance (Rule 312)
07-01-2015	Issue Fee Payment Verified
07-01-2015	Issue Fee Payment Received
04-02-2015	Electronic Review
04-02-2015	Email Notification
04-02-2015	Mail Notice of Allowance
03-29-2015	Document Verification
03-29-2015	Notice of Allowance Data Verification Completed
03-25-2015	Reasons for Allowance
03-25-2015	Examiner's Amendment Communication
01-27-2015	Case Docketed to Examiner in GAU
09-12-2014	Date Forwarded to Examiner
09-09-2014	Response after Non-Final Action
09-09-2014	Request for Extension of Time - Granted
08-28-2014	Case Docketed to Examiner in GAU
06-05-2014	Mail Non-Final Rejection
05-25-2014	Non-Final Rejection
03-12-2014	Case Docketed to Examiner in GAU
03-12-2014	Case Docketed to Examiner in GAU
02-21-2014	Date Forwarded to Examiner
02-04-2014	Response after Non-Final Action
02-04-2014	Request for Extension of Time - Granted
10-04-2013	Mail Non-Final Rejection
06-16-2013	Non-Final Rejection
05-25-2012	Response after Non-Final Action
04-25-2012	Mail Notice of Informal or Non-Responsive RCE Amendment
04-13-2012	RCE Amendment Informal or Non-Responsive
03-08-2011	Case Docketed to Examiner in GAU
03-07-2011	Case Docketed to Examiner in GAU
10-07-2010	Case Docketed to Examiner in GAU
12-02-2009	Date Forwarded to Examiner
12-02-2009	Disposal for a RCE / CPA / R129
11-30-2009	Request for Continued Examination (RCE)
11-30-2009	Workflow - Request for RCE - Begin
08-31-2009	Mail Final Rejection (PTOL - 326)
08-28-2009	Final Rejection
06-26-2009	Date Forwarded to Examiner
06-10-2009	Case Docketed to Examiner in GAU
05-06-2009	Response after Non-Final Action
05-06-2009	Request for Extension of Time - Granted
02-19-2009	PG-Pub Issue Notification
01-06-2009	Mail Non-Final Rejection
01-05-2009	Non-Final Rejection
09-23-2008	Date Forwarded to Examiner
08-15-2008	Response to Election / Restriction Filed
07-23-2008	Mail Restriction Requirement
07-21-2008	Restriction/Election Requirement
06-19-2008	Case Docketed to Examiner in GAU
02-01-2008	IFW TSS Processing by Tech Center Complete
11-19-2007	Application Dispatched from OIPE
08-23-2007	Sent to Classification Contractor
08-23-2007	Application Is Now Complete
08-16-2007	Information Disclosure Statement considered
08-16-2007	Electronic Information Disclosure Statement
08-16-2007	Information Disclosure Statement (IDS) Filed
08-16-2007	Cleared by OIPE CSR
08-16-2007	IFW Scan & PACR Auto Security Review
08-16-2007	Initial Exam Team nn
