Filing or 371(c) Date	11-14-2007
Issue Date of Patent	03-09-2010
A Delays	0
B Delays	0
C Delays	0
Overlapping Days Between {A and B} or {A and C}	0
Non-Overlapping USPTO Delays	0
PTO Manual Adjustments	0
Applicant Delays	91
Total PTA Adjustments	0

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
54.5	03-09-2010	PTA 36 Months	0		0
54	03-09-2010	Patent Issue Date Used in PTA Calculation			0
53	02-03-2010	Export to Final Data Capture			0
52	02-02-2010	Dispatch to FDC			0
51	01-22-2010	Response to Reasons for Allowance			0
50	01-28-2010	Application Is Considered Ready for Issue			0
49	01-22-2010	Issue Fee Payment Verified			0
48	01-22-2010	Issue Fee Payment Received			0
47	11-24-2009	Finished Initial Data Capture			0
46	10-27-2009	Export to Initial Data Capture			0
41	10-23-2009	Mail Notice of Allowance			0
40	10-21-2009	Notice of Allowance Data Verification Completed			0
39	10-21-2009	Case Docketed to Examiner in GAU			0
38	10-21-2009	Issue Revision Completed			0
37	10-21-2009	Document Verification			0
36	01-09-2008	Request for Foreign Priority (Priority Papers May Be Included)			0
35	10-21-2009	Examiner's Amendment Communication			0
34	10-20-2009	Allowability Notice			0
33	08-28-2009	Date Forwarded to Examiner			0
32	07-14-2009	Response after Non-Final Action		91	27
31	07-14-2009	Request for Extension of Time - Granted			0
30	05-28-2009	Case Docketed to Examiner in GAU			0
29	01-15-2009	Electronic Review			0
28	01-15-2009	Email Notification			0
27	01-14-2009	Mail Non-Final Rejection			0
26	01-12-2009	Non-Final Rejection			0
25	02-14-2008	Information Disclosure Statement considered			0
24	06-27-2008	Email Notification			0
23	06-26-2008	PG-Pub Issue Notification			0
22	04-18-2008	Case Docketed to Examiner in GAU			0
21	02-14-2008	Reference capture on IDS			0
18	02-14-2008	Information Disclosure Statement (IDS) Filed			0
17	03-18-2008	IFW TSS Processing by Tech Center Complete			0
16	02-14-2008	Information Disclosure Statement (IDS) Filed			0
15	01-28-2008	Application Dispatched from OIPE			0
14	01-14-2008	Email Notification			0
13	01-11-2008	Sent to Classification Contractor			0
12	01-14-2008	Filing Receipt - Updated			0
11	01-09-2008	Additional Application Filing Fees			0
10	01-09-2008	A statement by one or more inventors satisfying the requirement under 35 USC 115, Oath of the Applic			0
9	12-11-2007	Electronic Review			0
8	12-10-2007	Email Notification			0
7	12-10-2007	Email Notification			0
6	12-10-2007	Filing Receipt			0
5	12-10-2007	Notice Mailed--Application Incomplete--Filing Date Assigned			0
4	11-27-2007	Cleared by L&R (LARS)			0
3	11-20-2007	Referred to Level 2 (LARS) by OIPE CSR			0
2	11-14-2007	IFW Scan & PACR Auto Security Review			0
1	11-14-2007	Initial Exam Team nn			0
