Application Number	11/939,934
Filing or 371 (c) Date	11-14-2007
Application Type	Utility
Examiner Name	DOUGHERTY, THOMAS M
Group Art Unit	2837
Confirmation Number	6867
Attorney Docket Number	318331US6
Class / Subclass	310/309
First Named Inventor	Elisabeth Delevoye , Grenoble, (FR)
Customer Number	-
Status	Patented Case
Status Date	02-17-2010
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2008-0150392 A1
Earliest Publication Date	06-26-2008
Patent Number	7,675,217
Issue Date of Patent	03-09-2010
Title of Invention	MECHANICAL OSCILLATOR FORMED BY A NETWORK OF BASIC OSCILLATORS
