Filing or 371(c) Date	10-26-2010
Issue Date of Patent	10-28-2014
A Delays	173
B Delays	0
C Delays	0
Overlapping Days Between {A and B} or {A and C}	0
Non-Overlapping USPTO Delays	173
PTO Manual Adjustments	0
Applicant Delays	0
Total PTA Adjustments	173

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
100.5	10-28-2014	PTA 36 Months			0.5
100	10-28-2014	Patent Issue Date Used in PTA Calculation			0
99	09-26-2014	Export to Final Data Capture			0
98	09-25-2014	Dispatch to FDC			0
97	09-24-2014	Application Is Considered Ready for Issue			0
96	09-23-2014	Issue Fee Payment Verified			0
95	09-23-2014	Issue Fee Payment Received			0
94	07-01-2014	Export to Initial Data Capture			0
93	06-26-2014	Electronic Review			0
92	06-26-2014	Email Notification			0
91	06-26-2014	Mail Notice of Allowance			0
90	06-23-2014	Office Action Review			0
89	06-23-2014	Office Action Review			0
88	06-23-2014	Notice of Allowance Data Verification Completed			0
87	06-23-2014	Issue Revision Completed			0
86	06-23-2014	Document Verification			0
85	06-19-2014	Reasons for Allowance			0
84	06-19-2014	Allowability Notice			0
83	06-18-2014	Date Forwarded to Examiner			0
82	06-17-2014	Response after Final Action			0
81	04-18-2014	Electronic Review			0
80	04-18-2014	Email Notification			0
79	04-18-2014	Mail Final Rejection (PTOL - 326)			0
78	04-15-2014	Office Action Review			0
77	04-14-2014	Final Rejection			0
76	04-11-2014	Date Forwarded to Examiner			0
75	04-09-2014	Response after Non-Final Action			0
74	04-02-2014	Email Notification			0
73	04-02-2014	Change in Power of Attorney (May Include Associate POA)			0
72	03-27-2014	Correspondence Address Change			0
71	01-22-2014	Electronic Review			0
70	01-22-2014	Email Notification			0
69	01-22-2014	Mail Non-Final Rejection			0
68	01-15-2014	Add FAOM 1.25 Count			0
67	01-15-2014	Subtract FAOM 0.75 Count			0
66	01-15-2014	Office Action Review			0
65	01-14-2014	Non-Final Rejection			0
64	10-24-2013	Date Forwarded to Examiner			0
63	10-18-2013	Amendment Submitted/Entered with Filing of CPA/RCE			0
62	10-18-2013	Request for Continued Examination (RCE)			0
61	10-24-2013	Disposal for a RCE / CPA / R129			0
60	10-18-2013	Workflow - Request for RCE - Begin			0
59	07-19-2013	Electronic Review			0
58	07-19-2013	Email Notification			0
57	07-19-2013	Mail Final Rejection (PTOL - 326)			0
56	07-15-2013	Office Action Review			0
55	07-15-2013	Final Rejection			0
54	07-14-2013	Date Forwarded to Examiner			0
53	07-11-2013	Response after Non-Final Action			0
52	04-11-2013	Electronic Review			0
51	04-11-2013	Email Notification			0
50	04-11-2013	Mail Non-Final Rejection	173		43
49	04-07-2013	Office Action Review			0
48	04-04-2013	Add FAOM 1.25 Count			0
47	04-04-2013	Subtract FAOM 1.00 Count			0
46	04-03-2013	Non-Final Rejection			0
45	06-22-2012	Date Forwarded to Examiner			0
44	06-20-2012	Amendment Submitted/Entered with Filing of CPA/RCE			0
43	06-20-2012	Request for Continued Examination (RCE)			0
42	06-22-2012	Disposal for a RCE / CPA / R129			0
41	06-20-2012	Workflow - Request for RCE - Begin			0
40	05-10-2012	Finished Initial Data Capture			0
39	03-27-2012	Export to Initial Data Capture			0
38	03-23-2012	Electronic Review			0
37	03-23-2012	Email Notification			0
36	03-23-2012	Mail Notice of Allowance			0
35	03-21-2012	Office Action Review			0
34	03-21-2012	Issue Revision Completed			0
33	03-21-2012	Document Verification			0
32	03-21-2012	Notice of Allowance Data Verification Completed			0
31	03-21-2012	Allowability Notice			0
30	02-29-2012	Information Disclosure Statement considered			0
29	03-20-2012	PARALEGAL OR ELECTRONIC TERMINAL DISCLAIMER APPROVED			0
28	03-15-2012	Terminal Disclaimer Filed			0
27	03-20-2012	Date Forwarded to Examiner			0
26	03-15-2012	Response after Non-Final Action			0
25	02-29-2012	Information Disclosure Statement (IDS) Filed			0
24	02-29-2012	Information Disclosure Statement (IDS) Filed			0
23	12-15-2011	Electronic Review			0
22	12-15-2011	Email Notification			0
21	12-15-2011	Mail Non-Final Rejection			0
20	12-03-2011	Non-Final Rejection			0
19	02-28-2011	Information Disclosure Statement considered			0
18	02-28-2011	Reference capture on IDS			0
17	02-28-2011	Information Disclosure Statement (IDS) Filed			0
16	02-28-2011	Information Disclosure Statement (IDS) Filed			0
15	02-18-2011	Email Notification			0
14	02-17-2011	PG-Pub Issue Notification			0
9	01-09-2011	Case Docketed to Examiner in GAU			0
8	12-01-2010	Application Dispatched from OIPE			0
7	11-09-2010	Application Is Now Complete			0
6	11-09-2010	Email Notification			0
5	11-08-2010	Sent to Classification Contractor			0
4	11-09-2010	Filing Receipt			0
3	10-28-2010	Cleared by OIPE CSR			0
2	10-26-2010	IFW Scan & PACR Auto Security Review			0
1	10-26-2010	Initial Exam Team nn			0
0.5	10-26-2010	Filing date			0
