Mail Room Date	Document Code	Document Description	Document Category	Page Count	Filename
02-28-2014	PET.PTA	Patent Term Adjustment Petition	PROSECUTION	2	12124027-2014-02-28-00003-PET.PTA.pdf
02-28-2014	WFEE	Fee Worksheet (SB06)	PROSECUTION	2	12124027-2014-02-28-00002-WFEE.pdf
02-28-2014	N417	EFS Acknowledgment Receipt	PROSECUTION	2	12124027-2014-02-28-00001-N417.pdf
02-07-2014	CDEN	Post Issue Communication - Request for Certificate of Correction Denied	PROSECUTION	4	12124027-2014-02-07-00001-CDEN.pdf
01-27-2014	COCIN	Request for Certificate of Correction	PROSECUTION	2	12124027-2014-01-27-00005-COCIN.pdf
01-27-2014	IDS	Information Disclosure Statement (IDS) Form (SB08)	PROSECUTION	5	12124027-2014-01-27-00004-IDS.pdf
01-27-2014	IDS	Information Disclosure Statement (IDS) Form (SB08)	PROSECUTION	16	12124027-2014-01-27-00003-IDS.pdf
01-27-2014	IDS	Information Disclosure Statement (IDS) Form (SB08)	PROSECUTION	6	12124027-2014-01-27-00002-IDS.pdf
01-27-2014	N417	EFS Acknowledgment Receipt	PROSECUTION	2	12124027-2014-01-27-00001-N417.pdf
12-11-2013	ISSUE.NTF	Issue Notification	PROSECUTION	1	12124027-2013-12-11-00001-ISSUE.NTF.pdf
11-20-2013	ANE.I	Amendment After Final or under 37CFR 1.312, initialed by the examiner.	PROSECUTION	1	12124027-2013-11-20-00002-ANE.I.pdf
11-20-2013	N271	Response to Amendment under Rule 312	PROSECUTION	2	12124027-2013-11-20-00001-N271.pdf
11-11-2013	IFEE	Issue Fee Payment (PTO-85B)	PROSECUTION	2	12124027-2013-11-11-00004-IFEE.pdf
11-11-2013	WFEE	Fee Worksheet (SB06)	PROSECUTION	2	12124027-2013-11-11-00003-WFEE.pdf
11-11-2013	N417	EFS Acknowledgment Receipt	PROSECUTION	2	12124027-2013-11-11-00002-N417.pdf
11-11-2013	IFEE	Issue Fee Payment (PTO-85B)	PROSECUTION	2	12124027-2013-11-11-00001-IFEE.pdf
10-29-2013	LET.	Miscellaneous Incoming Letter	PROSECUTION	2	12124027-2013-10-29-00006-LET..pdf
10-29-2013	OATH	Oath or Declaration filed	PROSECUTION	3	12124027-2013-10-29-00005-OATH.pdf
10-29-2013	N417	EFS Acknowledgment Receipt	PROSECUTION	2	12124027-2013-10-29-00004-N417.pdf
10-29-2013	A.NA	Amendment after Notice of Allowance (Rule 312)	PROSECUTION	1	12124027-2013-10-29-00003-A.NA.pdf
