Mail Room Date	Document Code	Document Description	Document Category	Page Count	Filename
11-17-2010	ISSUE.NTF	Issue Notification	PROSECUTION	1	11853501-2010-11-17-00001-ISSUE.NTF.pdf
10-28-2010	IFEE	Issue Fee Payment (PTO-85B)	PROSECUTION	1	11853501-2010-10-28-00003-IFEE.pdf
10-28-2010	WFEE	Fee Worksheet (SB06)	PROSECUTION	2	11853501-2010-10-28-00002-WFEE.pdf
10-28-2010	N417	EFS Acknowledgment Receipt	PROSECUTION	2	11853501-2010-10-28-00001-N417.pdf
09-03-2010	1449	List of References cited by applicant and considered by examiner	PRIOR ART	1	11853501-2010-09-03-00001-1449.pdf
08-06-2010	NOA	Notice of Allowance and Fees Due (PTOL-85)	PROSECUTION	4	11853501-2010-08-06-00014-NOA.pdf
08-06-2010	EXIN	Examiner Interview Summary Record (PTOL - 413)	PROSECUTION	2	11853501-2010-08-06-00013-EXIN.pdf
08-06-2010	NOA	Notice of Allowance and Fees Due (PTOL-85)	PROSECUTION	2	11853501-2010-08-06-00012-NOA.pdf
08-06-2010	892	List of references cited by examiner	PROSECUTION	1	11853501-2010-08-06-00011-892.pdf
08-06-2010	FWCLM	Index of Claims	PROSECUTION	1	11853501-2010-08-06-00010-FWCLM.pdf
08-06-2010	NPL	Non Patent Literature	PROSECUTION	18	
08-06-2010	SRNT	Examiner's search strategy and results	PROSECUTION	1	11853501-2010-08-06-00008-SRNT.pdf
08-06-2010	NPL	Non Patent Literature	PROSECUTION	8	
08-06-2010	1449	List of References cited by applicant and considered by examiner	PROSECUTION	1	11853501-2010-08-06-00006-1449.pdf
08-06-2010	SRNT	Examiner's search strategy and results	PROSECUTION	3	11853501-2010-08-06-00005-SRNT.pdf
08-06-2010	BIB	Bibliographic Data Sheet	PROSECUTION	1	11853501-2010-08-06-00004-BIB.pdf
08-06-2010	IIFW	Issue Information including classification, examiner, name, claim, renumbering, etc.	PROSECUTION	1	11853501-2010-08-06-00003-IIFW.pdf
08-06-2010	NPL	Non Patent Literature	PROSECUTION	23	
08-06-2010	SRFW	Search information including classification, databases and other search related notes	PROSECUTION	1	11853501-2010-08-06-00001-SRFW.pdf
04-02-2010	IDS	Information Disclosure Statement (IDS) Form (SB08)	PROSECUTION	1	11853501-2010-04-02-00004-IDS.pdf
04-02-2010	NPL	Non Patent Literature	PRIOR ART	124	
