Mail Room Date	Document Code	Document Description	Document Category	Page Count	Filename
05-08-2009	ABN	Abandonment	PROSECUTION	1	11959953-2009-05-08-00001-ABN.pdf
03-16-2009	1449	List of References cited by applicant and considered by examiner	PRIOR ART	1	11959953-2009-03-16-00001-1449.pdf
02-25-2009	M327	Miscellaneous Communication to Applicant - No Action Count	PROSECUTION	2	11959953-2009-02-25-00003-M327.pdf
02-25-2009	1449	List of References cited by applicant and considered by examiner	PROSECUTION	2	11959953-2009-02-25-00002-1449.pdf
02-25-2009	1449	List of References cited by applicant and considered by examiner	PROSECUTION	5	11959953-2009-02-25-00001-1449.pdf
02-06-2009	M327	Miscellaneous Communication to Applicant - No Action Count	PROSECUTION	2	11959953-2009-02-06-00003-M327.pdf
02-06-2009	1449	List of References cited by applicant and considered by examiner	PRIOR ART	2	11959953-2009-02-06-00002-1449.pdf
02-06-2009	M327	Miscellaneous Communication to Applicant - No Action Count	PROSECUTION	1	11959953-2009-02-06-00001-M327.pdf
01-29-2009	TRAN.LET	Transmittal Letter	PROSECUTION	1	11959953-2009-01-29-00002-TRAN.LET.pdf
01-29-2009	N417	EFS Acknowledgment Receipt	PROSECUTION	2	11959953-2009-01-29-00001-N417.pdf
01-12-2009	NOA	Notice of Allowance and Fees Due (PTOL-85)	PROSECUTION	5	11959953-2009-01-12-00010-NOA.pdf
01-12-2009	892	List of references cited by examiner	PRIOR ART	1	11959953-2009-01-12-00009-892.pdf
01-12-2009	1449	List of References cited by applicant and considered by examiner	PRIOR ART	5	11959953-2009-01-12-00008-1449.pdf
01-12-2009	1449	List of References cited by applicant and considered by examiner	PRIOR ART	2	11959953-2009-01-12-00007-1449.pdf
01-12-2009	IIFW	Issue Information including classification, examiner, name, claim, renumbering, etc.	PROSECUTION	1	11959953-2009-01-12-00006-IIFW.pdf
01-12-2009	SRFW	Search information including classification, databases and other search related notes	PROSECUTION	1	11959953-2009-01-12-00005-SRFW.pdf
01-12-2009	FWCLM	Index of Claims	PROSECUTION	1	11959953-2009-01-12-00004-FWCLM.pdf
01-12-2009	NOA	Notice of Allowance and Fees Due (PTOL-85)	PROSECUTION	1	11959953-2009-01-12-00003-NOA.pdf
01-12-2009	BIB	Bibliographic Data Sheet	PROSECUTION	1	11959953-2009-01-12-00002-BIB.pdf
01-12-2009	SRNT	Examiner's search strategy and results	PROSECUTION	1	11959953-2009-01-12-00001-SRNT.pdf
01-09-2009	IDS	Information Disclosure Statement (IDS) Form (SB08)	PROSECUTION	2	11959953-2009-01-09-00003-IDS.pdf
01-09-2009	N417	EFS Acknowledgment Receipt	PROSECUTION	2	11959953-2009-01-09-00002-N417.pdf
01-09-2009	TRAN.LET	Transmittal Letter	PROSECUTION	4	11959953-2009-01-09-00001-TRAN.LET.pdf
08-25-2008	DISQ	Terminal Disclaimer review decision	PROSECUTION	1	11959953-2008-08-25-00001-DISQ.pdf
05-16-2008	A.PE	Preliminary Amendment	PROSECUTION	1	11959953-2008-05-16-00007-A.PE.pdf
05-16-2008	REM	Applicant Arguments/Remarks Made in an Amendment	PROSECUTION	2	11959953-2008-05-16-00006-REM.pdf
05-16-2008	DIST	Terminal Disclaimer Filed	PROSECUTION	3	11959953-2008-05-16-00005-DIST.pdf
05-16-2008	WFEE	Fee Worksheet (SB06)	PROSECUTION	2	11959953-2008-05-16-00004-WFEE.pdf
05-16-2008	N417	EFS Acknowledgment Receipt	PROSECUTION	2	11959953-2008-05-16-00003-N417.pdf
05-16-2008	LET.	Miscellaneous Incoming Letter	PROSECUTION	1	11959953-2008-05-16-00002-LET..pdf
05-16-2008	WFEE	Fee Worksheet (SB06)	PROSECUTION	1	11959953-2008-05-16-00001-WFEE.pdf
04-24-2008	NTC.PUB	Notice of Publication	PROSECUTION	1	11959953-2008-04-24-00001-NTC.PUB.pdf
01-22-2008	APP.FILE.REC	Filing Receipt	PROSECUTION	3	11959953-2008-01-22-00001-APP.FILE.REC.pdf
12-26-2007	IDS	Information Disclosure Statement (IDS) Form (SB08)	PROSECUTION	2	11959953-2007-12-26-00003-IDS.pdf
12-26-2007	N417	EFS Acknowledgment Receipt	PROSECUTION	2	11959953-2007-12-26-00002-N417.pdf
12-26-2007	TRAN.LET	Transmittal Letter	PROSECUTION	4	11959953-2007-12-26-00001-TRAN.LET.pdf
12-19-2007	TRNA	Transmittal of New Application	PROSECUTION	3	11959953-2007-12-19-00014-TRNA.pdf
12-19-2007	136A	Authorization for Extension of Time all replies	PROSECUTION	3	11959953-2007-12-19-00013-136A.pdf
12-19-2007	LET.	Miscellaneous Incoming Letter	PROSECUTION	1	11959953-2007-12-19-00012-LET..pdf
12-19-2007	N570	Communication - Re: Power of Attorney (PTOL-308)	PROSECUTION	1	11959953-2007-12-19-00011-N570.pdf
12-19-2007	OATH	Oath or Declaration filed	PROSECUTION	2	11959953-2007-12-19-00010-OATH.pdf
12-19-2007	SPEC	Specification	PROSECUTION	11	11959953-2007-12-19-00009-SPEC.pdf
12-19-2007	CLM	Claims	PROSECUTION	1	11959953-2007-12-19-00008-CLM.pdf
12-19-2007	ABST	Abstract	PROSECUTION	1	11959953-2007-12-19-00007-ABST.pdf
12-19-2007	DRW	Drawings-only black and white line drawings	PROSECUTION	11	11959953-2007-12-19-00006-DRW.pdf
12-19-2007	IDS	Information Disclosure Statement (IDS) Form (SB08)	PROSECUTION	5	11959953-2007-12-19-00005-IDS.pdf
12-19-2007	WFEE	Fee Worksheet (SB06)	PROSECUTION	2	11959953-2007-12-19-00004-WFEE.pdf
12-19-2007	N417	EFS Acknowledgment Receipt	PROSECUTION	3	11959953-2007-12-19-00003-N417.pdf
12-19-2007	TRAN.LET	Transmittal Letter	PROSECUTION	4	11959953-2007-12-19-00002-TRAN.LET.pdf
12-19-2007	WFEE	Fee Worksheet (SB06)	PROSECUTION	1	11959953-2007-12-19-00001-WFEE.pdf
