Application Number	10/596,977
Filing or 371 (c) Date	05-14-2007
Application Type	Utility
Examiner Name	DYE, ROBERT C
Group Art Unit	1747
Confirmation Number	3720
Attorney Docket Number	ESSR:118US/10608218
Class / Subclass	264/001.700
First Named Inventor	Peiqi Jiang , St. Petersburg, FL (US)
Customer Number	-
Status	Notice of Allowance Mailed -- Application Received in Office of Publications
Status Date	04-10-2012
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2007-0296094 A1
Earliest Publication Date	12-27-2007
Patent Number	-
Issue Date of Patent	-
Title of Invention	PROCESS FOR MAKING A COATED OPTICAL LENS FREE OF VISIBLE FINING LINES
