Date	Transaction Description
05-17-2012	Email Notification
05-17-2012	Filing Receipt - Corrected
04-12-2012	Electronic Review
04-12-2012	Email Notification
04-12-2012	Mail Notice of Allowance
04-09-2012	Document Verification
04-09-2012	Notice of Allowance Data Verification Completed
04-09-2012	Reasons for Allowance
02-17-2012	Date Forwarded to Examiner
02-13-2012	Response after Non-Final Action
02-13-2012	Request for Extension of Time - Granted
10-11-2011	Electronic Review
10-11-2011	Email Notification
10-11-2011	Mail Non-Final Rejection
09-28-2011	Non-Final Rejection
07-20-2011	Date Forwarded to Examiner
07-15-2011	Request for Continued Examination (RCE)
07-20-2011	Disposal for a RCE / CPA / R129
07-15-2011	Workflow - Request for RCE - Begin
04-15-2011	Electronic Review
04-15-2011	Email Notification
04-15-2011	Mail Final Rejection (PTOL - 326)
04-11-2011	Final Rejection
03-11-2011	Information Disclosure Statement considered
03-11-2011	Reference capture on IDS
03-11-2011	Information Disclosure Statement (IDS) Filed
03-11-2011	Information Disclosure Statement (IDS) Filed
02-03-2011	Date Forwarded to Examiner
01-31-2011	Response after Non-Final Action
01-04-2011	Case Docketed to Examiner in GAU
10-29-2010	Electronic Review
10-29-2010	Email Notification
10-29-2010	Mail Non-Final Rejection
10-25-2010	Non-Final Rejection
10-16-2010	Case Docketed to Examiner in GAU
05-09-2010	Date Forwarded to Examiner
05-05-2010	Request for Continued Examination (RCE)
05-09-2010	Disposal for a RCE / CPA / R129
05-05-2010	Request for Extension of Time - Granted
05-05-2010	Workflow - Request for RCE - Begin
11-05-2009	Mail Final Rejection (PTOL - 326)
11-04-2009	Final Rejection
09-04-2009	Date Forwarded to Examiner
08-11-2009	Response after Non-Final Action
08-11-2009	Request for Extension of Time - Granted
02-11-2009	Mail Non-Final Rejection
01-30-2009	Non-Final Rejection
11-05-2007	Information Disclosure Statement considered
12-16-2008	Case Docketed to Examiner in GAU
11-14-2008	Case Docketed to Examiner in GAU
06-23-2008	Case Docketed to Examiner in GAU
12-27-2007	PG-Pub Issue Notification
11-05-2007	Reference capture on IDS
11-05-2007	Information Disclosure Statement (IDS) Filed
11-05-2007	Information Disclosure Statement (IDS) Filed
10-17-2007	Withdraw Flagged for 5/25
10-15-2007	Flagged for 5/25
10-05-2007	IFW TSS Processing by Tech Center Complete
06-30-2006	Request for Foreign Priority (Priority Papers May Be Included)
06-30-2006	Preliminary Amendment
09-21-2007	Application Dispatched from OIPE
05-14-2007	371 Completion Date
09-17-2007	Sent to Classification Contractor
09-17-2007	Notice of DO/EO Acceptance Mailed
05-14-2007	Additional Application Filing Fees
05-14-2007	A statement by one or more inventors satisfying the requirement under 35 USC 115, Oath of the Applic
03-22-2007	Notice of DO/EO Missing Requirements Mailed
06-30-2006	Cleared by OIPE CSR
06-30-2006	Initial Exam Team nn
