Filing or 371(c) Date	05-14-2007
Issue Date of Patent	-
A Delays	266
B Delays	0
C Delays	0
Overlapping Days Between {A and B} or {A and C}	0
Non-Overlapping USPTO Delays	266
PTO Manual Adjustments	0
Applicant Delays	255
Total PTA Adjustments	11

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
75	04-12-2012	Mail Notice of Allowance			0
74	04-09-2012	Office Action Review			0
73	04-09-2012	Office Action Review			0
72	04-09-2012	Issue Revision Completed			0
71	04-09-2012	Document Verification			0
70	04-09-2012	Notice of Allowance Data Verification Completed			0
69	04-09-2012	Reasons for Allowance			0
68	04-09-2012	Allowability Notice			0
65	02-17-2012	Date Forwarded to Examiner			0
64	02-13-2012	Response after Non-Final Action		33	60
63	02-13-2012	Request for Extension of Time - Granted			0
62	10-11-2011	Electronic Review			0
61	10-11-2011	Email Notification			0
60	10-11-2011	Mail Non-Final Rejection			0
59	10-03-2011	Office Action Review			0
58	09-30-2011	Office Action Review			0
57	09-28-2011	Non-Final Rejection			0
56	07-20-2011	Date Forwarded to Examiner			0
55	07-15-2011	Amendment Submitted/Entered with Filing of CPA/RCE			0
54	07-15-2011	Request for Continued Examination (RCE)			0
53	07-20-2011	Disposal for a RCE / CPA / R129			0
52	07-15-2011	Workflow - Request for RCE - Begin			0
51	04-15-2011	Electronic Review			0
50	04-15-2011	Email Notification			0
49	04-15-2011	Mail Final Rejection (PTOL - 326)			0
48	04-11-2011	Final Rejection			0
47	03-11-2011	Information Disclosure Statement considered			0
46	03-11-2011	Reference capture on IDS			0
45	03-11-2011	Information Disclosure Statement (IDS) Filed		39	42
44	03-11-2011	Information Disclosure Statement (IDS) Filed			0
43	02-03-2011	Date Forwarded to Examiner			0
42	01-31-2011	Response after Non-Final Action		2	38
41	01-04-2011	Case Docketed to Examiner in GAU			0
40	10-29-2010	Electronic Review			0
39	10-29-2010	Email Notification			0
38	10-29-2010	Mail Non-Final Rejection	54		33
37	10-25-2010	Non-Final Rejection			0
36	10-16-2010	Case Docketed to Examiner in GAU			0
35	05-09-2010	Date Forwarded to Examiner			0
34	05-05-2010	Amendment Submitted/Entered with Filing of CPA/RCE			0
33	05-05-2010	Request for Continued Examination (RCE)		89	29
32	05-09-2010	Disposal for a RCE / CPA / R129			0
31	05-05-2010	Request for Extension of Time - Granted			0
30	05-05-2010	Workflow - Request for RCE - Begin			0
29	11-05-2009	Mail Final Rejection (PTOL - 326)			0
28	11-04-2009	Final Rejection			0
27	09-04-2009	Date Forwarded to Examiner			0
26	08-11-2009	Response after Non-Final Action		92	24
25	08-11-2009	Request for Extension of Time - Granted			0
24	02-11-2009	Mail Non-Final Rejection	212		8
23	01-30-2009	Non-Final Rejection			0
22	11-05-2007	Information Disclosure Statement considered			0
21	12-16-2008	Case Docketed to Examiner in GAU			0
20	11-14-2008	Case Docketed to Examiner in GAU			0
19	06-23-2008	Case Docketed to Examiner in GAU			0
18	12-27-2007	PG-Pub Issue Notification			0
17	11-05-2007	Reference capture on IDS			0
16	11-05-2007	Information Disclosure Statement (IDS) Filed			0
15	11-05-2007	Information Disclosure Statement (IDS) Filed			0
14	10-17-2007	Withdraw Flagged for 5/25			0
13	10-15-2007	Flagged for 5/25			0
12	10-05-2007	IFW TSS Processing by Tech Center Complete			0
9	09-21-2007	Application Dispatched from OIPE			0
8	05-14-2007	371 Completion Date			0
7	09-17-2007	Sent to Classification Contractor			0
6	09-17-2007	Notice of DO/EO Acceptance Mailed			0
5	05-14-2007	Additional Application Filing Fees			0
4	05-14-2007	A statement by one or more inventors satisfying the requirement under 35 USC 115, Oath of the Applic			0
0.5	12-30-2004	International Filing date			0
