Application Number	11/345,809
Filing or 371 (c) Date	02-01-2006
Application Type	Utility
Examiner Name	D AGOSTA, STEPHEN M
Group Art Unit	2617
Confirmation Number	9369
Attorney Docket Number	050828
Class / Subclass	455/414.100
First Named Inventor	Thomas F. Doyle , San Diego, CA (US)
Customer Number	-
Status	Patented Case
Status Date	11-10-2010
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2007-0178851 A1
Earliest Publication Date	08-02-2007
Patent Number	7,844,258
Issue Date of Patent	11-30-2010
Title of Invention	METHOD AND APPARATUS TO INDICATE COMMUNICATION IS WANTED OR WAITING
