Date	Transaction Description
05-13-2010	Post Issue Communication - Certificate of Correction
05-12-2010	Post Issue Communication - Certificate of Correction
05-12-2010	Post Issue Communication - Certificate of Correction
04-06-2010	Recordation of Patent Grant Mailed
03-18-2010	Email Notification
03-17-2010	Issue Notification Mailed
03-03-2010	Receipt into Pubs
03-01-2010	Dispatch to FDC
02-12-2010	Dispatch to FDC
01-13-2010	Issue Fee Payment Verified
02-04-2010	Application Is Considered Ready for Issue
01-13-2010	Issue Fee Payment Verified
01-13-2010	Issue Fee Payment Received
11-03-2009	Reverse Issue Fee
01-04-2010	Electronic Review
01-04-2010	Email Notification
01-04-2010	Mail Notice of Allowance
12-30-2009	Document Verification
12-30-2009	Notice of Allowance Data Verification Completed
12-04-2009	Information Disclosure Statement considered
12-04-2009	Reference capture on IDS
12-04-2009	Information Disclosure Statement (IDS) Filed
12-13-2009	Date Forwarded to Examiner
12-13-2009	Date Forwarded to Examiner
12-04-2006	Request for Continued Examination (RCE)
12-13-2009	Disposal for a RCE / CPA / R129
11-23-2009	Information Disclosure Statement considered
12-07-2009	Mail-Record Petition Decision of Granted to Withdraw from Issue
12-07-2009	Record Petition Decision of Granted to Withdraw from Issue
12-04-2009	Petition Entered
12-04-2009	Information Disclosure Statement (IDS) Filed
12-04-2009	Workflow - Request for RCE - Begin
12-03-2009	Email Notification
12-03-2009	Mail Miscellaneous Communication to Applicant
11-25-2009	Miscellaneous Communication to Applicant - No Action Count
11-23-2009	Information Disclosure Statement (IDS) Filed
11-03-2009	Issue Fee Payment Received
09-24-2009	Electronic Review
09-24-2009	Email Notification
09-24-2009	Mail Notice of Allowance
09-21-2009	Document Verification
09-21-2009	Notice of Allowance Data Verification Completed
09-11-2009	Document Verification
06-22-2009	Change in Power of Attorney (May Include Associate POA)
06-15-2009	Correspondence Address Change
06-10-2009	Document Verification
05-06-2009	Change in Power of Attorney (May Include Associate POA)
05-06-2009	Date Forwarded to Examiner
04-07-2009	Response after Non-Final Action
01-09-2009	Mail Non-Final Rejection
01-08-2009	Non-Final Rejection
11-18-2008	Case Docketed to Examiner in GAU
09-24-2008	Correspondence Address Change
05-15-2008	Case Docketed to Examiner in GAU
05-01-2008	Case Docketed to Examiner in GAU
02-14-2008	Case Docketed to Examiner in GAU
10-17-2007	Withdraw Flagged for 5/25
10-16-2007	Flagged for 5/25
10-18-2006	Preliminary Amendment
10-18-2006	New or Additional Drawing Filed
09-06-2006	IFW TSS Processing by Tech Center Complete
07-17-2006	Oath or Declaration Filed (Including Supplemental)
04-21-2006	Preliminary Amendment
08-05-2006	Case Docketed to Examiner in GAU
08-29-2006	Notice of Reissue Published in Official Gazette
07-27-2006	Application Dispatched from OIPE
07-28-2006	Application Is Now Complete
07-17-2006	Additional Application Filing Fees
07-17-2006	Applicant has submitted a new specification to correct Corrected Papers problems
07-17-2006	The identification of one or more legal entities other than the inventor(s), each such legal entity
07-22-2006	Cleared by OIPE CSR
07-06-2006	Cleared by OIPE CSR
07-06-2006	Cleared by OIPE CSR
07-03-2006	Notice Mailed--Application Incomplete--Filing Date Assigned
05-19-2006	Cleared by OIPE CSR
05-10-2006	IFW Scan & PACR Auto Security Review
04-21-2006	Initial Exam Team nn
