Date	Transaction Description
03-31-2010	Mail Abandonment for Failure to Respond to Office Action
03-29-2010	Aband. for Failure to Respond to O. A.
09-01-2009	Mail Non-Final Rejection
08-31-2009	Non-Final Rejection
07-17-2009	Date Forwarded to Examiner
07-17-2009	Date Forwarded to Examiner
07-13-2009	Request for Continued Examination (RCE)
07-17-2009	Disposal for a RCE / CPA / R129
07-13-2009	Workflow - Request for RCE - Begin
06-22-2009	Mail Advisory Action (PTOL - 303)
06-20-2009	Advisory Action (PTOL-303)
06-18-2009	Date Forwarded to Examiner
06-12-2009	Amendment after Final Rejection
06-11-2009	PG-Pub Issue Notification
04-14-2009	Mail Final Rejection (PTOL - 326)
04-10-2009	Final Rejection
03-25-2009	Information Disclosure Statement considered
03-26-2009	Date Forwarded to Examiner
03-25-2009	Response after Non-Final Action
03-25-2009	Electronic Information Disclosure Statement
03-25-2009	Information Disclosure Statement (IDS) Filed
03-19-2009	Case Docketed to Examiner in GAU
01-08-2009	Mail Non-Final Rejection
01-05-2009	Non-Final Rejection
05-15-2008	Information Disclosure Statement considered
02-29-2008	Information Disclosure Statement considered
10-07-2008	Case Docketed to Examiner in GAU
08-21-2008	Case Docketed to Examiner in GAU
07-16-2008	IFW TSS Processing by Tech Center Complete
05-15-2008	Electronic Information Disclosure Statement
02-29-2008	Electronic Information Disclosure Statement
05-15-2008	Information Disclosure Statement (IDS) Filed
04-07-2008	Application Dispatched from OIPE
03-12-2008	Sent to Classification Contractor
03-12-2008	Filing Receipt - Updated
03-12-2008	Application Is Now Complete
02-29-2008	Payment of additional filing fee/Preexam
02-29-2008	A statement by one or more inventors satisfying the requirement under 35 USC 115, Oath of the Applic
02-29-2008	Information Disclosure Statement (IDS) Filed
01-04-2008	Filing Receipt
01-04-2008	Notice Mailed--Application Incomplete--Filing Date Assigned
12-20-2007	Cleared by OIPE CSR
12-10-2007	IFW Scan & PACR Auto Security Review
12-06-2007	Initial Exam Team nn
