Application Number	11/951,501
Filing or 371 (c) Date	12-06-2007
Application Type	Utility
Examiner Name	POLITO, NICHOLAS F
Group Art Unit	3673
Confirmation Number	8489
Attorney Docket Number	066040-9863-00
Class / Subclass	005/731
First Named Inventor	Andrew B. Delvaux , Green Bay, WI (US)
Customer Number	-
Status	Abandoned -- Failure to Respond to an Office Action
Status Date	03-29-2010
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2009-0144903 A1
Earliest Publication Date	06-11-2009
Patent Number	-
Issue Date of Patent	-
Title of Invention	CPR FACILITATING MATTRESS
