Date	Transaction Description
11-03-2009	Recordation of Patent Grant Mailed
10-14-2009	Issue Notification Mailed
11-03-2009	Patent Issue Date Used in PTA Calculation
09-29-2009	Dispatch to FDC
09-29-2009	Dispatch to FDC
09-28-2009	Application Is Considered Ready for Issue
09-21-2009	Issue Fee Payment Verified
09-21-2009	Issue Fee Payment Received
06-26-2009	Mail Examiner's Amendment
06-26-2009	Mail Notice of Allowance
06-25-2009	Document Verification
06-25-2009	Notice of Allowance Data Verification Completed
06-25-2009	Case Docketed to Examiner in GAU
06-25-2009	Examiner's Amendment Communication
05-05-2009	Date Forwarded to Examiner
04-13-2009	Response after Non-Final Action
03-06-2009	Change in Power of Attorney (May Include Associate POA)
02-26-2009	Correspondence Address Change
01-14-2009	Mail Non-Final Rejection
01-14-2009	Non-Final Rejection
06-29-2005	Information Disclosure Statement considered
07-12-2007	Information Disclosure Statement considered
03-14-2008	Information Disclosure Statement considered
07-14-2008	Information Disclosure Statement considered
01-07-2009	Case Docketed to Examiner in GAU
10-17-2008	Case Docketed to Examiner in GAU
07-14-2008	Electronic Information Disclosure Statement
10-05-2008	Case Docketed to Examiner in GAU
07-14-2008	Information Disclosure Statement (IDS) Filed
03-14-2008	Electronic Information Disclosure Statement
03-14-2008	Information Disclosure Statement (IDS) Filed
02-05-2008	Case Docketed to Examiner in GAU
10-17-2007	Withdraw Flagged for 5/25
10-16-2007	Flagged for 5/25
09-28-2007	Case Docketed to Examiner in GAU
07-12-2007	Reference capture on IDS
07-12-2007	Information Disclosure Statement (IDS) Filed
07-14-2007	Transfer Inquiry to GAU
07-12-2007	Information Disclosure Statement (IDS) Filed
06-13-2007	Transfer Inquiry to GAU
03-13-2007	Correspondence Address Change
11-14-2006	IFW TSS Processing by Tech Center Complete
06-29-2006	Reference capture on IDS
06-29-2005	Information Disclosure Statement (IDS) Filed
06-29-2005	Information Disclosure Statement (IDS) Filed
08-10-2005	Cleared by L&R (LARS)
08-09-2005	Application Return from OIPE
08-10-2005	Application Is Now Complete
08-09-2005	Application Return TO OIPE
08-09-2005	Application Dispatched from OIPE
08-09-2005	Application Is Now Complete
07-15-2005	Referred to Level 2 (LARS) by OIPE CSR
07-12-2005	IFW Scan & PACR Auto Security Review
06-29-2005	Initial Exam Team nn
