Filing or 371(c) Date	06-29-2005
Issue Date of Patent	11-03-2009
A Delays	869
B Delays	0
C Delays	0
Overlapping Days Between {A and B} or {A and C}	0
Non-Overlapping USPTO Delays	869
PTO Manual Adjustments	0
Applicant Delays	0
Total PTA Adjustments	869

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
59.5	10-14-2009	PTA 36 Months	0		0
59	11-03-2009	Patent Issue Date Used in PTA Calculation			0
58	09-30-2009	Export to Final Data Capture			0
57	09-29-2009	Dispatch to FDC			0
56	09-29-2009	Dispatch to FDC			0
55	09-28-2009	Application Is Considered Ready for Issue			0
54	09-21-2009	Issue Fee Payment Verified			0
53	09-21-2009	Issue Fee Payment Received			0
52	07-24-2009	Finished Initial Data Capture			0
51	06-30-2009	Export to Initial Data Capture			0
49	06-26-2009	Mail Notice of Allowance			0
48	06-25-2009	Issue Revision Completed			0
47	06-25-2009	Document Verification			0
46	06-25-2009	Notice of Allowance Data Verification Completed			0
45	06-25-2009	Case Docketed to Examiner in GAU			0
44	06-25-2009	Examiner's Amendment Communication			0
43	06-25-2009	Allowability Notice			0
39	05-05-2009	Date Forwarded to Examiner			0
38	04-13-2009	Response after Non-Final Action			0
37	03-06-2009	Change in Power of Attorney (May Include Associate POA)			0
36	02-26-2009	Correspondence Address Change			0
35	01-14-2009	Mail Non-Final Rejection	869		-1
34	01-14-2009	Non-Final Rejection			0
33	06-29-2005	Information Disclosure Statement considered			0
32	07-12-2007	Information Disclosure Statement considered			0
31	03-14-2008	Information Disclosure Statement considered			0
30	07-14-2008	Information Disclosure Statement considered			0
29	01-07-2009	Case Docketed to Examiner in GAU			0
28	10-17-2008	Case Docketed to Examiner in GAU			0
27	07-14-2008	Electronic Information Disclosure Statement			0
26	10-05-2008	Case Docketed to Examiner in GAU			0
25	07-14-2008	Information Disclosure Statement (IDS) Filed			0
24	03-14-2008	Electronic Information Disclosure Statement			0
23	03-14-2008	Information Disclosure Statement (IDS) Filed			0
22	02-05-2008	Case Docketed to Examiner in GAU			0
21	10-17-2007	Withdraw Flagged for 5/25			0
20	10-16-2007	Flagged for 5/25			0
19	09-28-2007	Case Docketed to Examiner in GAU			0
18	07-12-2007	Reference capture on IDS			0
17	07-12-2007	Information Disclosure Statement (IDS) Filed			0
16	07-14-2007	Transfer Inquiry to GAU			0
15	07-12-2007	Information Disclosure Statement (IDS) Filed			0
14	06-13-2007	Transfer Inquiry to GAU			0
13	03-13-2007	Correspondence Address Change			0
12	11-14-2006	IFW TSS Processing by Tech Center Complete			0
11	06-29-2006	Reference capture on IDS			0
10.7	06-29-2005	Information Disclosure Statement (IDS) Filed			0
10	06-29-2005	Information Disclosure Statement (IDS) Filed			0
9	08-10-2005	Cleared by L&R (LARS)			0
8	08-09-2005	Application Return from OIPE			0
7	08-10-2005	Application Is Now Complete			0
6	08-09-2005	Application Return TO OIPE			0
5	08-09-2005	Application Dispatched from OIPE			0
4	08-09-2005	Application Is Now Complete			0
3	07-15-2005	Referred to Level 2 (LARS) by OIPE CSR			0
2	07-12-2005	IFW Scan & PACR Auto Security Review			0
1	06-29-2005	Initial Exam Team nn			0
