Date	Transaction Description
08-05-2009	Mail Abandonment for Failure to Respond to Office Action
08-03-2009	Aband. for Failure to Respond to O. A.
03-31-2009	Case Docketed to Examiner in GAU
01-27-2009	Mail Non-Final Rejection
01-22-2009	Non-Final Rejection
01-23-2006	Information Disclosure Statement considered
04-06-2006	Information Disclosure Statement considered
05-27-2008	Information Disclosure Statement considered
01-07-2009	Correspondence Address Change
09-09-2008	Case Docketed to Examiner in GAU
05-27-2008	Information Disclosure Statement (IDS) Filed
06-24-2008	Case Docketed to Examiner in GAU
05-27-2008	Information Disclosure Statement (IDS) Filed
08-09-2006	IFW TSS Processing by Tech Center Complete
08-09-2006	Case Docketed to Examiner in GAU
01-23-2006	Request for Foreign Priority (Priority Papers May Be Included)
01-23-2006	Information Disclosure Statement (IDS) Filed
01-23-2006	Information Disclosure Statement (IDS) Filed
04-06-2006	Reference capture on IDS
04-06-2006	Information Disclosure Statement (IDS) Filed
04-06-2006	Information Disclosure Statement (IDS) Filed
03-01-2006	Application Return from OIPE
03-02-2006	Application Is Now Complete
03-01-2006	Application Return TO OIPE
03-01-2006	Application Dispatched from OIPE
03-02-2006	Application Is Now Complete
02-08-2006	Cleared by OIPE CSR
02-04-2006	IFW Scan & PACR Auto Security Review
01-23-2006	Initial Exam Team nn
