Application Number	11/336,878
Filing or 371 (c) Date	01-23-2006
Application Type	Utility
Examiner Name	MURPHY, CHARLES C
Group Art Unit	2441
Confirmation Number	7992
Attorney Docket Number	P57716
Class / Subclass	709/223
First Named Inventor	Ki-Cheol Lee , Seongnam-si, (KR)
Customer Number	-
Status	Abandoned -- Failure to Respond to an Office Action
Status Date	08-03-2009
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2006-0168279 A1
Earliest Publication Date	07-27-2006
Patent Number	-
Issue Date of Patent	-
Title of Invention	Apparatus and method for providing multi protocol label switching (MPLS)-based virtual private network (VPN)
