Application Number	12/061,725
Filing or 371 (c) Date	04-03-2008
Application Type	Utility
Examiner Name	AMAYA, CARLOS DAVID
Group Art Unit	2836
Confirmation Number	9012
Attorney Docket Number	67,036-025
Class / Subclass	307/009.100
First Named Inventor	Peter J. Suttie , San Diego, CA (US)
First Named Applicant	-
Entity Status	Undiscounted
AIA (First Inventor to File)	No
Customer Number	-
Status	Patented Case
Status Date	04-15-2009
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2008-0179947 A1
Earliest Publication Date	07-31-2008
Patent Number	7,528,499
Issue Date of Patent	05-05-2009
International Registration Number (Hague)	-
International Registration Publication Date	-
Title of Invention	METHOD AND SYSTEM FOR FACILITATING NO-BREAK POWER TRANSFER
