Date	Transaction Description
05-05-2009	Recordation of Patent Grant Mailed
05-05-2009	Patent Issue Date Used in PTA Calculation
04-15-2009	Issue Notification Mailed
03-24-2009	Dispatch to FDC
03-24-2009	Application Is Considered Ready for Issue
03-19-2009	Issue Fee Payment Verified
03-19-2009	Issue Fee Payment Received
01-05-2009	Mail Notice of Allowance
01-02-2009	Notice of Allowance Data Verification Completed
10-29-2008	Case Docketed to Examiner in GAU
10-09-2008	IFW TSS Processing by Tech Center Complete
07-31-2008	PG-Pub Issue Notification
05-15-2008	Application Dispatched from OIPE
04-24-2008	Sent to Classification Contractor
04-24-2008	Filing Receipt
04-24-2008	Application Is Now Complete
04-15-2008	Cleared by L&R (LARS)
04-14-2008	Referred to Level 2 (LARS) by OIPE CSR
04-03-2008	Information Disclosure Statement considered
04-03-2008	Electronic Information Disclosure Statement
04-03-2008	Information Disclosure Statement (IDS) Filed
04-03-2008	IFW Scan & PACR Auto Security Review
04-03-2008	Initial Exam Team nn
