Application Number	12/060,631
Filing or 371 (c) Date	04-01-2008
Application Type	Utility
Examiner Name	SNIEZEK, ANDREW L
Group Art Unit	2627
Confirmation Number	6985
Attorney Docket Number	4880.80456
Class / Subclass	360/055
First Named Inventor	Michio Matsuura , Kawasaki, (JP)
First Named Applicant	-
Entity Status	Undiscounted
AIA (First Inventor to File)	No
Customer Number	24978
Status	Patented Case
Status Date	03-25-2009
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2008-0186616 A1
Earliest Publication Date	08-07-2008
Patent Number	7,518,821
Issue Date of Patent	04-14-2009
International Registration Number (Hague)	-
International Registration Publication Date	-
Title of Invention	HARD DISK DRIVE
