Date	Transaction Description
07-13-2010	Application Is Considered for C of C
04-30-2010	Mail Post Card
04-22-2010	Email Notification
04-20-2010	Mail-Petition Decision - Granted
04-20-2010	Petition Decision - Granted
03-01-2010	Petition Entered
02-18-2010	Post Issue Communication - Certificate of Correction
11-24-2009	Recordation of Patent Grant Mailed
01-23-2009	Information Disclosure Statement (IDS) Filed
11-05-2009	Email Notification
11-04-2009	Issue Notification Mailed
11-24-2009	Patent Issue Date Used in PTA Calculation
10-16-2009	Dispatch to FDC
10-16-2009	Application Is Considered Ready for Issue
10-13-2009	Issue Fee Payment Verified
10-13-2009	Issue Fee Payment Received
07-13-2009	Electronic Review
07-13-2009	Email Notification
07-13-2009	Mail Notice of Allowance
07-07-2009	Document Verification
07-07-2009	Notice of Allowance Data Verification Completed
06-16-2009	Date Forwarded to Examiner
05-04-2009	Response after Non-Final Action
02-04-2009	Electronic Review
02-04-2009	Email Notification
02-04-2009	Mail Non-Final Rejection
01-30-2009	Non-Final Rejection
01-23-2009	Information Disclosure Statement considered
01-23-2009	Information Disclosure Statement (IDS) Filed
11-19-2008	Date Forwarded to Examiner
11-05-2008	Response to Election / Restriction Filed
11-05-2008	Request for Extension of Time - Granted
08-05-2008	Mail Notice of Informal or Non-Responsive Amendment
07-15-2008	Date Forwarded to Examiner
06-25-2008	Informal or Non-Responsive Amendment after Examiner Action
06-25-2008	Response to Election / Restriction Filed
06-25-2008	Request for Extension of Time - Granted
02-25-2008	Mail Restriction Requirement
02-19-2008	Restriction/Election Requirement
10-09-2007	Case Docketed to Examiner in GAU
09-11-2007	Case Docketed to Examiner in GAU
06-07-2007	PG-Pub Issue Notification
03-01-2007	IFW TSS Processing by Tech Center Complete
11-29-2005	Preliminary Amendment
11-29-2005	Request for Foreign Priority (Priority Papers May Be Included)
10-05-2006	371 Completion Date
02-26-2007	Application Dispatched from OIPE
02-26-2007	Notice of DO/EO Acceptance Mailed
10-05-2006	Additional Application Filing Fees
10-05-2006	A statement by one or more inventors satisfying the requirement under 35 USC 115, Oath of the Applic
08-11-2006	Notice of DO/EO Missing Requirements Mailed
07-07-2006	Cleared by OIPE CSR
11-29-2005	Initial Exam Team nn
