Filing or 371(c) Date	10-05-2006
Issue Date of Patent	11-24-2009
A Delays	82
B Delays	360
C Delays	0
Overlapping Days Between {A and B} or {A and C}	0
Non-Overlapping USPTO Delays	442
PTO Manual Adjustments	0
Applicant Delays	164
Total PTA Adjustments	278

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
62	04-17-2010	Petition Decision - Granted			0
61	03-01-2010	Petition Entered			0
60	02-18-2010	Post Issue Communication - Certificate of Correction			0
59	11-24-2009	Recordation of Patent Grant Mailed			0
57	11-05-2009	Email Notification			0
56	11-04-2009	Issue Notification Mailed			0
55.5	11-24-2009	PTA 36 Months	360		0
55	11-24-2009	Patent Issue Date Used in PTA Calculation			0
54	10-19-2009	Export to Final Data Capture			0
53	10-16-2009	Dispatch to FDC			0
52	10-16-2009	Application Is Considered Ready for Issue			0
51	10-13-2009	Issue Fee Payment Verified			0
50	10-13-2009	Issue Fee Payment Received			0
49	08-12-2009	Finished Initial Data Capture			0
48	07-14-2009	Export to Initial Data Capture			0
45	07-13-2009	Mail Notice of Allowance			0
44	07-07-2009	Issue Revision Completed			0
43	07-07-2009	Document Verification			0
42	07-07-2009	Notice of Allowance Data Verification Completed			0
41	07-06-2009	Allowability Notice			0
40	06-16-2009	Date Forwarded to Examiner			0
39	05-04-2009	Response after Non-Final Action			0
38	02-04-2009	Electronic Review			0
37	02-04-2009	Email Notification			0
36	02-04-2009	Mail Non-Final Rejection			0
35	01-30-2009	Non-Final Rejection			0
34	01-23-2009	Information Disclosure Statement considered			0
33	01-23-2009	Information Disclosure Statement (IDS) Filed			0
28	11-19-2008	Date Forwarded to Examiner			0
27	11-05-2008	Response to Election / Restriction Filed		133	22
26	11-05-2008	Request for Extension of Time - Granted			0
24	08-05-2008	Mail Notice of Informal or Non-Responsive Amendment			0
23	07-15-2008	Date Forwarded to Examiner			0
22.1	06-25-2008	Informal or Non-Responsive Amendment after Examiner Action			0
22	06-25-2008	Response to Election / Restriction Filed		31	20
21	06-25-2008	Request for Extension of Time - Granted			0
20	02-25-2008	Mail Restriction Requirement	82		9
19	02-19-2008	Restriction/Election Requirement			0
15	10-09-2007	Case Docketed to Examiner in GAU			0
14	09-11-2007	Case Docketed to Examiner in GAU			0
13	06-07-2007	PG-Pub Issue Notification			0
12	03-01-2007	IFW TSS Processing by Tech Center Complete			0
9	10-05-2006	371 Completion Date			0
8	02-26-2007	Application Dispatched from OIPE			0
7	02-26-2007	Notice of DO/EO Acceptance Mailed			0
6	10-05-2006	Additional Application Filing Fees			0
4	10-05-2006	A statement by one or more inventors satisfying the requirement under 35 USC 115, Oath of the Applic			0
