Application Number	10/558,844
Filing or 371 (c) Date	10-05-2006
Application Type	Utility
Examiner Name	MUSLEH, MOHAMAD A
Group Art Unit	2832
Confirmation Number	7080
Attorney Docket Number	20033-002US1 FP050046US
Class / Subclass	335/132
First Named Inventor	Ping Liu , Liaoning Province, (CN)
Customer Number	-
Status	Patented Case
Status Date	11-04-2009
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2007-0126538 A1
Earliest Publication Date	06-07-2007
Patent Number	7,623,010
Issue Date of Patent	11-24-2009
Title of Invention	ELECTRICAL SWITCH
