Filing or 371(c) Date	05-25-2007
Issue Date of Patent	04-20-2010
A Delays	167
B Delays	0
C Delays	0
Overlapping Days Between {A and B} or {A and C}	0
Non-Overlapping USPTO Delays	167
PTO Manual Adjustments	0
Applicant Delays	12
Total PTA Adjustments	155

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
45.5	04-20-2010	PTA 36 Months	0		0
45	04-20-2010	Patent Issue Date Used in PTA Calculation			0
44	03-11-2010	Export to Final Data Capture			0
43	03-10-2010	Dispatch to FDC			0
42	03-09-2010	Application Is Considered Ready for Issue			0
41	03-02-2010	Issue Fee Payment Verified			0
40	03-02-2010	Issue Fee Payment Received			0
39	01-13-2010	Finished Initial Data Capture			0
38	12-14-2009	Export to Initial Data Capture			0
35	12-03-2009	Mail Notice of Allowance			0
34	11-30-2009	Issue Revision Completed			0
33	11-30-2009	Notice of Allowance Data Verification Completed			0
32	11-30-2009	Case Docketed to Examiner in GAU			0
31	11-18-2009	Document Verification			0
30	11-18-2009	Allowability Notice			0
29	11-14-2009	Date Forwarded to Examiner			0
28	11-10-2009	Amendment after Final Rejection			0
27	10-22-2009	Email Notification			0
26	10-22-2009	Mail Advisory Action (PTOL - 303)			0
25	10-20-2009	Advisory Action (PTOL-303)			0
24	10-14-2009	Date Forwarded to Examiner			0
23	10-13-2009	Amendment after Final Rejection			0
22	08-11-2009	Electronic Review			0
21	08-10-2009	Email Notification			0
20	08-10-2009	Mail Final Rejection (PTOL - 326)			0
19	08-03-2009	Final Rejection			0
18	05-28-2009	Date Forwarded to Examiner			0
17	04-20-2009	Response after Non-Final Action		12	15
16	04-20-2009	Request for Extension of Time - Granted			0
15	01-08-2009	Mail Non-Final Rejection	167		-1
14	01-05-2009	Non-Final Rejection			0
13	11-28-2008	PG-Pub Issue Notification			0
12	09-03-2008	Case Docketed to Examiner in GAU			0
11	04-22-2008	Case Docketed to Examiner in GAU			0
10	01-07-2008	Case Docketed to Examiner in GAU			0
9	01-03-2008	IFW TSS Processing by Tech Center Complete			0
8	11-12-2007	Application Dispatched from OIPE			0
7	06-22-2007	Sent to Classification Contractor			0
6	06-25-2007	Application Is Now Complete			0
3	06-14-2007	Cleared by OIPE CSR			0
2	06-07-2007	IFW Scan & PACR Auto Security Review			0
1	05-25-2007	Initial Exam Team nn			0
