Date	Transaction Description
04-20-2010	Recordation of Patent Grant Mailed
04-01-2010	Email Notification
03-31-2010	Issue Notification Mailed
04-20-2010	Patent Issue Date Used in PTA Calculation
03-10-2010	Dispatch to FDC
03-09-2010	Application Is Considered Ready for Issue
03-02-2010	Issue Fee Payment Verified
03-02-2010	Issue Fee Payment Received
12-03-2009	Electronic Review
12-03-2009	Email Notification
12-03-2009	Mail Notice of Allowance
11-30-2009	Notice of Allowance Data Verification Completed
11-30-2009	Case Docketed to Examiner in GAU
11-18-2009	Document Verification
11-14-2009	Date Forwarded to Examiner
11-10-2009	Amendment after Final Rejection
10-22-2009	Email Notification
10-22-2009	Mail Advisory Action (PTOL - 303)
10-20-2009	Advisory Action (PTOL-303)
10-14-2009	Date Forwarded to Examiner
10-13-2009	Amendment after Final Rejection
08-11-2009	Electronic Review
08-10-2009	Email Notification
08-10-2009	Mail Final Rejection (PTOL - 326)
08-03-2009	Final Rejection
05-28-2009	Date Forwarded to Examiner
04-20-2009	Response after Non-Final Action
04-20-2009	Request for Extension of Time - Granted
01-08-2009	Mail Non-Final Rejection
01-05-2009	Non-Final Rejection
11-28-2008	PG-Pub Issue Notification
09-03-2008	Case Docketed to Examiner in GAU
04-22-2008	Case Docketed to Examiner in GAU
01-07-2008	Case Docketed to Examiner in GAU
01-03-2008	IFW TSS Processing by Tech Center Complete
11-12-2007	Application Dispatched from OIPE
06-22-2007	Sent to Classification Contractor
06-25-2007	Application Is Now Complete
06-14-2007	Cleared by OIPE CSR
06-07-2007	IFW Scan & PACR Auto Security Review
05-25-2007	Initial Exam Team nn
