Application Number	11/753,637
Filing or 371 (c) Date	05-25-2007
Application Type	Utility
Examiner Name	JONES, YOLANDA RENEE
Group Art Unit	3651
Confirmation Number	5904
Attorney Docket Number	07EJ086 (1506.158)
Class / Subclass	198/383
First Named Inventor	Julian Poyner , Stockport, (GB)
Customer Number	-
Status	Patented Case
Status Date	03-31-2010
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2008-0289937 A1
Earliest Publication Date	11-27-2008
Patent Number	7,699,157
Issue Date of Patent	04-20-2010
Title of Invention	SAFETY ARRANGEMENT
