Filing or 371(c) Date	02-01-2006
Issue Date of Patent	11-30-2010
A Delays	663
B Delays	206
C Delays	0
Overlapping Days Between {A and B} or {A and C}	0
Non-Overlapping USPTO Delays	869
PTO Manual Adjustments	0
Applicant Delays	0
Total PTA Adjustments	869

Number	Date	Contents Description	PTO(Days)	APPL(Days)	Start
82.5	08-26-2009	PTA 36 Months	206		0
82	11-30-2010	Patent Issue Date Used in PTA Calculation			0
81	10-29-2010	Export to Final Data Capture			0
80	10-28-2010	Dispatch to FDC			0
79	10-28-2010	Application Is Considered Ready for Issue			0
78	10-26-2010	Issue Fee Payment Verified			0
77	10-26-2010	Issue Fee Payment Received			0
73	07-26-2010	Mail Notice of Allowance			0
72	07-21-2010	Issue Revision Completed			0
71	07-21-2010	Document Verification			0
70	07-21-2010	Notice of Allowance Data Verification Completed			0
69	07-21-2010	Allowability Notice			0
68	06-25-2010	Date Forwarded to Examiner			0
67	06-24-2010	Amendment Submitted/Entered with Filing of CPA/RCE			0
66	06-24-2010	Request for Continued Examination (RCE)			0
65	06-25-2010	Disposal for a RCE / CPA / R129			0
64	06-24-2010	Workflow - Request for RCE - Begin			0
63	05-17-2010	Finished Initial Data Capture			0
62	03-31-2010	Export to Initial Data Capture			0
61	03-26-2010	Electronic Review			0
60	03-26-2010	Email Notification			0
59	03-26-2010	Mail Notice of Allowance			0
58	03-22-2010	Issue Revision Completed			0
57	03-22-2010	Document Verification			0
56	03-19-2010	Notice of Allowance Data Verification Completed			0
55	03-18-2010	Allowability Notice			0
53	01-24-2010	Date Forwarded to Examiner			0
52	01-13-2010	Response after Non-Final Action			0
51	10-13-2009	Electronic Review			0
50	10-13-2009	Email Notification			0
49	10-13-2009	Mail Non-Final Rejection			0
48	10-08-2009	Non-Final Rejection			0
43	08-29-2009	Date Forwarded to Examiner			0
42	08-27-2009	Amendment Submitted/Entered with Filing of CPA/RCE			0
41	08-29-2009	Date Forwarded to Examiner			0
40	08-27-2009	Request for Continued Examination (RCE)			0
39	08-29-2009	Disposal for a RCE / CPA / R129			0
38	08-27-2009	Workflow - Request for RCE - Begin			0
37	06-02-2009	Electronic Review			0
36	06-02-2009	Email Notification			0
35	06-02-2009	Mail Final Rejection (PTOL - 326)			0
34	05-27-2009	Final Rejection			0
33	05-23-2009	Date Forwarded to Examiner			0
32	04-23-2009	Response after Non-Final Action			0
31	01-23-2009	Electronic Review			0
30	01-23-2009	Email Notification			0
29	01-23-2009	Mail Non-Final Rejection	663		-1
28	01-16-2009	Non-Final Rejection			0
22	10-18-2007	Information Disclosure Statement considered			0
19	05-14-2008	Case Docketed to Examiner in GAU			0
18	10-18-2007	Electronic Information Disclosure Statement			0
17	10-18-2007	Information Disclosure Statement (IDS) Filed			0
16	08-02-2007	PG-Pub Issue Notification			0
15	03-16-2007	Case Docketed to Examiner in GAU			0
14	07-03-2006	IFW TSS Processing by Tech Center Complete			0
13	05-23-2006	Application Return from OIPE			0
12	05-23-2006	Application Is Now Complete			0
11	05-23-2006	Application Return TO OIPE			0
10	05-23-2006	Application Dispatched from OIPE			0
9	05-23-2006	Application Is Now Complete			0
8	05-15-2006	Additional Application Filing Fees			0
7	05-15-2006	A statement by one or more inventors satisfying the requirement under 35 USC 115, Oath of the Applic			0
6	03-17-2006	Notice Mailed--Application Incomplete--Filing Date Assigned			0
5	03-13-2006	Cleared by L&R (LARS)			0
4	03-02-2006	Referred to Level 2 (LARS) by OIPE CSR			0
3	03-02-2006	CASE CLASSIFIED BY OIPE			0
2	02-12-2006	IFW Scan & PACR Auto Security Review			0
1	02-01-2006	Initial Exam Team nn			0
